datetime,title,link,summary
2019-01-04,"['New Year, New Teammates: NFL Announces Partnerships With ... - Adweek']",['https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5hZHdlZWsuY29tL2JyYW5kLW1hcmtldGluZy9uZXcteWVhci1uZXctdGVhbW1hdGVzLW5mbC1hbm5vdW5jZXMtcGFydG5lcnNoaXBzLXdpdGgtY2Flc2Fycy1lbnRlcnRhaW5tZW50LWFuZC1pbnR1aXQtdHVyYm90YXgv0gEA?oc=5'],"['The NFL is ringing in the new year with two groundbreaking partnerships.\nOn Thursday, the organization announced its first casino sponsor, Caesars Entertainment, and on Friday, it named Intuit TurboTax Live as the debut presenting sponsor of both the AFC and the NFC Championship games.']"
2019-01-17,"['Intuit QuickBooks and GIPHY Team Up to Celebrate the Small ... - Business Wire', ""Intuit's Support for Abortion Industry and Anti-Religious Organization ... - National Center for Public Policy Research""]","['https://news.google.com/rss/articles/CBMisAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE5MDExNzAwNTE1Ny9lbi9JbnR1aXQtUXVpY2tCb29rcy1hbmQtR0lQSFktVGVhbS1VcC10by1DZWxlYnJhdGUtdGhlLVNtYWxsLUJ1c2luZXNzLUNvbW11bml0eS1pbi0lRTIlODAlOUNCQUNLSU5HLVlPVSVFMiU4MCU5RC1DYW1wYWlnbtIBAA?oc=5', 'https://news.google.com/rss/articles/CBMifWh0dHBzOi8vbmF0aW9uYWxjZW50ZXIub3JnL25jcHByLzIwMTkvMDEvMTcvaW50dWl0cy1zdXBwb3J0LWZvci1hYm9ydGlvbi1pbmR1c3RyeS1hbmQtYW50aS1yZWxpZ2lvdXMtb3JnYW5pemF0aW9uLXVuZGVyLWZpcmUv0gEA?oc=5']","['Though there are millions of small business owners and self-employed in the world, there’s a lack of short-form content focused on small businesses.\nNoticing this, QuickBooks and GIPHY have teamed up to celebrate small business owners by providing a visual and expressive way to share their tribulations and triumphs.\n“‘BACKING YOU’ was introduced to both recognize and empower small business owners.\nNow the small business community has access to even more GIFs and can view the original small business micro series, “Getting Down to Small Business” at www.giphy.com/intuitquickbooks.\nIntuit, QuickBooks, QuickBooks Connect, QuickBooks ProAdvisor, TurboTax, and Mint are trademarks of Intuit Inc. Other parties’ marks are property of their respective owners.', 'Intuit’s Support for Abortion Industry and Anti-Religious Organization Under FireParent Company of TurboTax and QuickBooks Questioned Over Support of Planned Parenthood and Out and EqualPro-Life Americans Must Contact Companies that Fund the Abortion Industry to Effect ChangeMountain View, CA/ Washington, D.C. – Intuit CEO Sasan Goodarzi was grilled earlier today by a well-known conservative investor regarding the tech company’s support for the abortion industry as well as an anti-religious advocacy group.\nGallup polling indicates that, when it comes to abortion, Americans are equally divided on the subject.\nDanhof also questioned Intuit’s relationship with an organization that recruits corporations to oppose religious liberty and freedom of conscience efforts.\n“When presented with the very real problem of losing business because it chooses to support the very controversial Planned Parenthood, Intuit decided to virtue-signal,” said Danhof.\n“Words such as diversity, inclusiveness and prosperity mean nothing to the unborn lives that Planned Parenthood helps extinguish on a day-to-day basis.']"
2019-01-22,"['Intuit QuickBooks, Giphy Partner For Campaign 01/22/2019 - MediaPost Communications']",['https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lm1lZGlhcG9zdC5jb20vcHVibGljYXRpb25zL2FydGljbGUvMzMwODI0L2ludHVpdC1xdWlja2Jvb2tzLWdpcGh5LXBhcnRuZXItZm9yLWNhbXBhaWduLmh0bWzSAQA?oc=5'],"[""by Tanya Gazdik , January 21, 2019Intuit QuickBooks is teaming up with GIF search engine Giphy in spots featuring actor Danny DeVito.\nIt's part of Intuit’s ongoing “Backing You” campaign geared targeted to small businesses.\nThe GIF series stars DeVito, who acts as a coach and advocate for small businesses.\nQuickBooks will also leverage Giphy’s new story feature by launching an original micro-series designed specifically for the platform.\nGiphy’s ad products are designed to support brand storytelling through GIFs, says Alix McAlpine, director of brand strategy at Giphy.""]"
2019-02-03,"['Intuit Super Bowl 2019 ad introduces #RoboChild, scares world - CNET']",['https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmNuZXQuY29tL2N1bHR1cmUvaW50ZXJuZXQvaW50dWl0LXN1cGVyLWJvd2wtMjAxOS1jb21tZXJjaWFsLWludHJvZHVjZXMtcm9ib2NoaWxkLXNjYXJlcy13b3JsZC_SAWlodHRwczovL3d3dy5jbmV0LmNvbS9nb29nbGUtYW1wL25ld3MvaW50dWl0LXN1cGVyLWJvd2wtMjAxOS1jb21tZXJjaWFsLWludHJvZHVjZXMtcm9ib2NoaWxkLXNjYXJlcy13b3JsZC8?oc=5'],"[""Scared your team will lose the Super Bowl?\nYou may have something far bigger to fear in the form of #RoboChild, a weird-looking kid bot born to the world in Intuit's Super Bowl ad Sunday.\nJudging from the tweets that followed the airing of the ad, it appears RoboChild awakened not just his father, but the nightmares of many a Super Bowl viewer.\nIntuit isn't the first company to feature a robot in its Super Bowl commercial this year.\nWatch this: RoboChild in Intuit Superbowl ad may haunt your nightmares 00:30The best online tax software for 2019 compared: Turbo Tax, H&R Block and many more""]"
2019-02-19,['Intuit TurboTax phishing scam - Komando'],['https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmtvbWFuZG8uY29tL3NlY3VyaXR5LXByaXZhY3kvYmV3YXJlLXRheC1wcmVwYXJlci1zY2FtbWVycy1hcmUtdGFyZ2V0aW5nLXR1cmJvdGF4LzU0NzI0Ni_SAWhodHRwczovL3d3dy5rb21hbmRvLmNvbS9zZWN1cml0eS1wcml2YWN5L2Jld2FyZS10YXgtcHJlcGFyZXItc2NhbW1lcnMtYXJlLXRhcmdldGluZy10dXJib3RheC81NDcyNDYvP2FtcA?oc=5'],"['One of Kim’s listeners emailed us recently with a frightening story of how her family fell for one of these TurboTax phishing scams.\nHer husband found the malicious TurboTax software by doing a simple Google search.\nIn this scam, the malware came from clicking on a malicious search result.\nInstead of searching for TurboTax software online, make sure to get DIY tax software from a trusted source.\nIntuit TurboTax is aware that criminals spoof its products to try and rip people off, and many times they do it with phishing emails.']"
2019-02-21,"[""Intuit QuickBooks: Credit Where Credit's Due By TBWA Chiat Day - The Drum""]",['https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnRoZWRydW0uY29tL2NyZWF0aXZlLXdvcmtzL3Byb2plY3QvdGJ3YS1jaGlhdC1kYXktaW50dWl0LXF1aWNrYm9va3MtY3JlZGl0LXdoZXJlLWNyZWRpdHMtZHVl0gEA?oc=5'],"[""Intuit QuickBooks, in its latest campaign, has decided to shine a light on those who toil behind the scenes, helping bring the glitz and glamour of Hollywood to life, even if they rarely get recognition.\nThe ‘Giving Credit Where Credit's Due’ campaign highlights the self-employed and small business owners who make up 85% of the production crew of a typical movie have always been the stars of the show.\nThey include everyone from the pianist, songwriters, grips and set decorators to wardrobe assistants and visual effects assistants.\nA tag states: “The movie industry’s largest workforce works for themselves.\nQuickBooks.""]"
2019-02-23,['Intuit Reports Stuffing Attempts Against TurboTax Customers - TechNadu'],['https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnRlY2huYWR1LmNvbS9pbnR1aXQtdHVyYm90YXgtc3R1ZmZpbmctYXR0YWNrLWRhdGEtYnJlYWNoLzU5MTIxL9IBT2h0dHBzOi8vd3d3LnRlY2huYWR1LmNvbS9pbnR1aXQtdHVyYm90YXgtc3R1ZmZpbmctYXR0YWNrLWRhdGEtYnJlYWNoLzU5MTIxL2FtcC8?oc=5'],"['Intuit notifies owners of TurboTax accounts of a successful breach against them.\nThe compromised accounts were temporarily disabled, and victims are urged to follow the designated resetting process.\nIntuit, the developer of the TurboTax software suite, has disclosed a stuffing attack incident that unfortunately resulted in a data breach.\nThe attackers have accessed the tax return information of TurboTax accounts of existing customers by using login credentials that they got from elsewhere.\nThis means that the people who had their accounts compromised are those who use the same or similar passwords on multiple platforms and websites.']"
2019-02-25,"['TurboTax Hack: Intuit Says There Was No Data Breach, Users Are Not at Risk - Newsweek']",['https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS90dXJib3RheC1pbnR1aXQtYnJlYWNoLWRhdGEtcmlzay0xMzQzMjcy0gFHaHR0cHM6Ly93d3cubmV3c3dlZWsuY29tL3R1cmJvdGF4LWludHVpdC1icmVhY2gtZGF0YS1yaXNrLTEzNDMyNzI_YW1wPTE?oc=5'],['']
2019-02-26,"[""Seize control of your finances! Get Intuit's TurboTax Deluxe and ... - PCWorld""]",['https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5wY3dvcmxkLmNvbS9hcnRpY2xlLzQwMzM1Ni9zZWl6ZS1jb250cm9sLW9mLXlvdXItZmluYW5jZXMtZ2V0LWludHVpdHMtdHVyYm90YXgtZGVsdXhlLWFuZC1xdWlja2VuLWRlbHV4ZS1mb3ItanVzdC02MC5odG1s0gEA?oc=5'],"['And today, you can save a little money even before your return, with a discount on TurboTax Deluxe + State software on Amazon.\nThe bundle, which also includes Intuit’s Quicken Deluxe personal finance software, is $60 on Amazon for today only, down from a list price of $83.\nIt will also allow you to e-file, so you can get your taxes in online, and will allow you to file for state taxes as well.\nIn addition, this bundle comes with two extra months of Quicken Deluxe 2019 personal finance, bringing the total to 14 months of keeping up on your finances.\n[Today’s deal: Intuit TurboTax Deluxe + State and Quicken Deluxe for $60 on Amazon.]']"
2019-03-01,['Leadership and Legacy Lessons From Former Intuit CEO Brad Smith - Entrepreneur'],['https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vbGVhZGVyc2hpcC9sZWFkZXJzaGlwLWFuZC1sZWdhY3ktbGVzc29ucy1mcm9tLWZvcm1lci1pbnR1aXQtY2VvLWJyYWQvMzI4MzAx0gEA?oc=5'],"['Ask anyone working at Intuit and they will tell you that former Intuit CEO Brad Smith is the type of person you feel lucky to know and call a friend.\nAfter 11 years as CEO, Smith handed over the job to Executive V.P.\nSmith knew how to inspire his team to excel as human beings and as part of Intuit.\nSmith leads through service to others, not just as employees but as human beings.\nMy hope in writing this article is that more entrepreneurs can hear of Brad Smith and study his wisdom so they can become better leaders and human beings.']"
