,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-0.102459565,0.10739744,-2.1506386,-0.6452396,-1.5041832,-0.6462736,0.04081149,0.5963321,-0.9298883,0.70770454,0.9672305,0.022940125,-0.10296493,-0.24718386,-0.037592508,-0.43672526,0.07711491,0.06622088,-0.18523647,0.025194116,-0.36891723,0.27546024,-0.34577543,-0.11883946,0.24523053,-0.33966833,0.22766037,-0.22041425,-0.3570383,-0.43719685,-1.4796252,1.2883946,-0.3812488,-0.5810505,-0.078218564,-0.33249396,0.42262343,0.11117939,0.1379087,-0.66690326,-1.1992848,0.19542907,-0.119422406,-0.71447587,-0.0465258,0.08736365,-0.16445339,-0.5341784,-0.05289147,0.29180098,0.022058409,-0.4992347,0.30967453,-0.34609506,-0.5456721,0.8536282,-0.4147454,-0.26156116,-0.026507795,0.021230714,1,1
1,-0.7051404,0.12280721,0.86785364,0.19642556,-0.81769204,-0.6343173,0.3621344,0.38554904,0.35108665,-0.8835639,0.20820668,-0.073627874,0.5043425,0.13649373,0.04970236,-0.067809224,-0.2280456,-0.632061,-0.2354061,0.033652723,-0.7209587,0.07991287,-0.39044857,-0.11070844,-1.2001479,0.5138259,0.32129106,-0.25198272,-0.15723917,1.0280592,-1.2454371,0.43357867,0.38964957,0.05762555,1.0038033,0.37411654,-1.3675178,-0.5463037,0.33423966,-0.022478573,-0.9050486,-0.007080812,0.5353674,-0.7464728,-0.027738184,-0.15125048,0.44354576,-0.019195218,-0.4522972,0.09224149,-0.2493889,0.85447776,0.26070148,-0.4163977,-0.5854753,-0.28156972,0.79626584,-0.3931005,-0.9582138,-0.11271779,1,1
2,-1.1560149,1.8213778,0.36861676,0.6445346,1.1363643,-0.78027534,-0.19538948,1.0438322,0.7277378,-0.36500785,0.63001734,0.2569797,0.21511936,-0.14960638,0.5107304,-0.12250802,-0.8479384,-0.82767165,0.045612596,0.82632756,-0.3032751,0.6077246,-0.1729748,-0.28491724,-0.13127321,-0.029125758,-0.33119848,-0.07328664,0.34490025,1.3666401,-0.6552361,1.2902095,-2.384075,0.055192336,0.47993678,-0.22066848,-0.8352471,0.5675709,0.35846996,-0.0175145,0.20711441,0.04804872,-0.3996389,0.62473,-0.24963638,0.17836347,0.5993385,-1.4566836,-0.04007171,-0.46722355,0.8413186,0.14121222,0.35523653,-0.23168458,0.14410461,-0.16940758,0.8653226,-0.6047996,0.7337117,-0.43682417,0,1
3,-1.5219963,-1.1833048,0.066796646,0.37727642,-1.1437927,0.05229707,-0.25186107,0.20758195,-0.29715925,-0.77932346,0.16682155,0.37697136,-0.222226,0.122424036,0.50950533,-0.21652955,-0.08132948,0.45056084,0.12451637,0.25550187,-0.28254396,-0.40231672,-0.27961603,0.46257463,0.07090108,0.112147026,-0.24382927,-0.111232504,0.40969193,-0.100641355,-1.4546478,0.7214312,0.8431765,-0.5255445,-0.0034463517,-0.022685558,-0.17324705,0.026090354,-0.31974953,-0.05949371,0.78085065,0.10865376,0.19768628,-0.5990953,0.38044298,-0.69506,-0.2142459,-0.017036833,-0.47511423,-0.07243777,-0.30719137,-0.66082966,-0.6958235,0.3468488,-0.140872,0.4581547,-0.29865482,0.24061543,0.28810787,0.13571441,1,0
4,-0.60126776,0.053613544,0.22013196,-0.70010483,-0.2003032,0.09995287,0.42692548,0.93950474,0.016863346,0.12174425,0.20469725,0.30440968,1.002797,-0.26351443,-1.0011533,0.06511362,-0.08508366,-0.12741032,0.060346406,0.597296,-1.0304263,1.1467673,-0.6168255,0.09003211,-0.31507015,0.019308502,0.73049706,0.061134875,-0.06576355,0.81976205,-1.1756897,0.20357712,-1.3511633,0.7354628,0.1494301,-0.56083155,-0.7714359,0.13324898,-0.08262949,-0.18230504,-0.121731006,-0.7490158,-0.30095318,0.30453968,-0.77091277,0.26561797,-0.10908559,0.58541304,-0.072850905,-0.14690596,-0.28827307,-0.28375024,0.67066216,0.45425105,-0.5530976,0.06026414,0.36113322,-1.1609426,-0.45266342,-0.9348097,1,1
5,0.18139738,2.0384061,-0.7361829,-0.028926283,-0.4492545,0.7842939,-0.7458413,0.31200716,0.33413732,-0.7785635,0.5951654,-0.7510053,0.9219341,-1.656384,0.24755183,0.56451815,0.0050097257,0.036186136,-0.048679624,-0.82227373,-0.2543175,-0.15227625,-0.28178728,0.74829715,-0.6447917,-0.16927275,0.07384085,-0.41470823,0.06986963,-0.5084129,-0.85085374,2.0163624,-2.2881346,-0.29981214,-0.11668833,-0.98175555,-0.33231997,0.73458636,0.91596746,0.03672961,0.22908199,-0.042140786,-0.23490436,-0.15986112,-1.3900106,-0.009469282,-0.020109598,0.6824936,0.0031036288,-0.07791932,0.19856209,0.6917954,-0.7282622,-0.22986981,-0.43296328,0.33409336,-0.5633866,0.09567839,0.11290003,-0.23352012,1,1
6,-0.6230385,1.7910995,0.18201286,-0.12688673,-0.8169024,0.52745557,0.2358704,-0.13092454,-0.8475968,0.3417053,-0.75719,-0.6053976,0.6409875,-0.9827266,-0.24916978,-1.1431708,-0.33055806,0.60537744,-0.4992097,0.2627868,0.47288203,-0.21705016,-0.31772962,0.09708583,-0.43273956,-0.054485407,0.07833672,-0.33527854,0.083839655,0.1285625,-1.2245544,0.48065034,-0.6529758,1.782429,-0.21389382,-0.18080778,-0.18764293,0.06782165,-0.88909364,0.36459678,-0.1328981,-0.118139036,0.07187398,-1.0329063,-0.13564953,-0.4953891,0.078246504,0.04712064,-0.49433792,0.30701098,-0.18522292,0.5676373,0.63039184,0.4169174,-0.2606113,0.2021066,0.49616924,0.12815431,-0.22277066,0.34651813,1,1
7,-2.9692369,1.0561187,0.6134819,0.15903229,-0.21524692,0.61382306,0.62128186,-0.112561025,-0.54863614,0.2465595,-0.13939285,-0.47951686,-1.0901632,0.5496933,0.31963378,0.719341,0.83462346,0.388778,-0.27848616,0.4590484,-0.20787257,0.16722696,-0.69558656,-0.34665856,0.64440745,0.17336938,-0.15885292,0.15156223,0.13562137,-0.7362078,-0.8403541,-1.8779088,-0.8085649,-0.09652664,-0.76752496,-0.6812753,0.42124256,-0.016024247,0.10571865,0.69773555,-0.64422977,0.0685153,0.22216263,-0.49347973,0.033857383,-0.5152755,-0.95430744,0.35653174,-0.13833883,0.21498868,0.7891207,-0.65117997,0.021987837,0.94980764,0.81111825,0.19110526,-0.51271987,-0.42683056,0.08838908,0.10952111,1,1
8,-0.19721717,3.4184422,0.008065328,-0.6723612,-0.17687687,0.118265025,-1.1065863,-1.5087926,0.58724934,0.8436625,0.8503181,1.2080824,-0.34624115,-0.6679069,-1.0338621,0.18409355,-0.22406098,-0.22572961,0.3600974,0.024861455,-0.3188095,-0.1392117,-0.25364643,0.15123214,0.6183888,0.05051288,-0.48935038,-0.46707067,-0.5179499,-0.306127,-0.7181361,3.1469026,-1.2545507,1.018631,0.91029465,0.0050403774,0.29916966,0.23129752,-0.5476752,0.26070607,0.11774066,-0.16953623,-0.628994,0.99133885,-0.19785441,-0.29762322,-0.13384756,0.09022314,-0.50752485,-0.22869828,-0.24274504,0.3037631,-0.23861954,0.3118667,0.17423183,0.20519091,-0.20900206,-0.8015122,-0.502748,-0.056733284,1,1
9,-1.4600722,1.9167494,0.6468905,0.5928182,-0.34560236,-0.77561605,-0.6770365,-0.7166214,-1.2742823,0.18815686,0.19817984,0.4623688,-0.13867882,-0.6799718,-1.0209881,0.40293625,0.009490984,-0.32993972,-0.6578022,0.48133332,-0.5811458,0.54224837,0.78948724,0.67462313,0.96047413,-0.5754391,-0.22551306,0.17002541,-0.7099769,-0.1170837,-1.4210217,1.0741954,-1.7779052,-0.6609161,0.9148897,-0.8276477,0.0536479,-0.53509057,0.24198845,-0.4128202,0.4435975,0.28148055,0.260638,-0.5950836,-0.43889862,-0.4318543,-0.70971864,0.13467607,0.36361504,-0.26415825,-0.64435893,-0.16193202,-0.083993495,0.5490911,-0.13838366,0.15250376,-0.42390043,0.052197415,-0.059030592,0.5212619,1,1
