,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.8558185,0.46118945,-0.31653917,-0.30987385,-0.2755553,-0.15193991,0.21373408,0.2830142,-0.19819385,0.09427838,-0.6751416,0.085311025,-0.0767068,-0.10516818,-0.0985174,0.12936404,0.043651603,-0.08706759,0.09506132,0.3096239,-0.20099661,-0.27244818,-0.046534818,0.50145924,0.339565,0.076704875,0.5431241,-0.07329428,-0.12736803,0.3910342,-0.47298783,-0.976292,-0.03920957,1.0142028,0.3699089,1.2827264,1.1968884,0.18086615,1.6732968,-0.0018701851,1.1048763,-0.15023121,1.4162621,-1.2110825,-0.7086072,0.39323965,-0.8300588,0.25231647,-0.5897012,-0.7554674,0.5502516,0.39485943,-0.8823048,-0.31811327,0.1574642,-0.29304415,0.32409745,-0.10476801,-0.36077482,-0.66806185,1,1
1,0.6391422,-0.17332043,-0.056758758,-0.61599934,-0.12716368,-1.6662838,-0.34878927,1.1889235,0.6388312,-0.21711862,-0.4364499,-0.18898581,-0.81651974,0.7247417,-0.12685424,-0.14817017,-1.0996604,-0.5729102,-0.26820004,-0.42809218,-0.52402437,-0.35201105,-0.26340362,1.2487769,0.08276238,-0.35202727,0.37282115,-0.11724934,-0.030172413,-0.09644026,-0.47298783,-0.976292,-0.03920957,1.0142028,0.3699089,1.2827264,1.1968884,0.18086615,1.6732968,-0.0018701851,1.1048763,-0.15023121,1.4162621,-1.2110825,-0.7086072,0.39323965,-0.8300588,0.25231647,-0.5897012,-0.7554674,0.5502516,0.39485943,-0.8823048,-0.31811327,0.1574642,-0.29304415,0.32409745,-0.10476801,-0.36077482,-0.66806185,1,1
2,1.2653155,1.2272131,-0.1117322,-1.3923948,0.27358612,-0.835277,-0.8569431,0.8934611,0.39448696,0.6792432,0.43038064,1.0775821,-0.31277162,0.69683325,1.5845584,0.055920076,-0.12303233,-0.44880652,-0.018182851,0.13150284,0.25319856,0.47578454,0.41303772,0.05610694,-0.3068582,-0.11540687,-0.13607648,0.21863542,-0.27423656,0.093951926,-0.23190321,-1.0154172,0.14503022,0.6270295,0.3356342,0.8289689,1.0872327,0.006039113,0.8989698,0.2659378,1.5924013,-1.0055227,-0.27389002,-0.050731063,-0.49747524,-0.8285943,1.4934088,-0.16091385,-1.0586494,-0.27379504,0.30156484,-0.23205605,0.79903316,0.3787621,-0.64836675,-0.33664995,0.31267178,-0.011472747,0.064399265,-0.62527996,1,1
3,-0.8214344,0.11506202,-0.8157685,-0.04249774,0.14289871,-0.5725037,-0.118388206,1.5723572,-0.06588365,-0.14208631,0.58794683,-0.15562405,-0.22147626,-0.2798857,1.1170063,0.29813758,-0.5268961,0.16338655,0.48017702,-0.2726115,-0.13855354,-0.07406944,0.23929574,0.08962405,-0.5753011,-0.2548657,0.01540653,0.29778445,0.29170984,-0.24342772,0.84558785,2.543143,0.0135289505,0.025782775,-0.37943512,-0.36882043,1.3071004,-0.3804223,1.1197581,0.265175,0.410479,0.14398852,1.1280706,0.18598168,0.55571514,0.07531351,0.14674775,0.96258366,-0.40006274,0.76857054,0.50846094,-0.32094347,-0.7475374,-0.3156318,-0.56929183,-0.33143407,-0.16987137,-0.18896134,0.22150767,0.10392449,1,1
4,-0.28237695,-1.4482191,-0.91627216,-0.516671,-0.43382597,-0.09947672,0.009684488,-0.24708085,-0.3663578,-0.11984411,0.37348852,-0.147176,-0.63856566,0.043360952,-0.4632751,-0.29367298,-0.19359127,-0.33739793,0.56987333,-0.25762922,-0.8779093,-0.2977003,-0.3363569,-0.4503833,0.027513556,0.7853474,0.6195968,0.2913276,0.5667024,-0.060564477,-0.597255,-0.080242194,2.1855125,-0.018814415,-1.2177155,1.1468978,-0.2693176,0.21459544,-0.3229975,0.7311275,-0.20760731,0.4283476,0.21927264,0.13839047,-0.029723182,0.7678782,-0.042667188,-0.35700494,0.14915034,-0.5308423,0.24487618,0.1648427,0.13435692,-0.6841836,0.03349734,-0.035477713,0.8987407,0.4057851,0.32535365,-0.0005744342,1,1
5,1.3327272,0.048047274,0.7839352,0.003515739,0.68959904,-1.3090439,0.49880993,0.077437125,1.139918,0.09737915,-1.0052087,-0.05720371,-0.8099312,1.1105462,-0.08042352,0.6342324,-0.7882217,-0.7349283,-0.13007085,-0.17335653,0.08942157,0.011472683,-0.49082446,1.6162297,0.04708364,-0.7035618,0.30523506,-0.04817912,0.20376934,0.27361685,0.4281786,-0.8332911,-0.62976253,0.9128812,0.6764512,0.58471185,2.5105958,0.6621279,1.039152,-0.5139862,1.3787448,-0.75437295,1.0630008,-0.86973387,-0.41206664,0.4165914,-1.22325,-0.31368664,0.58802235,-0.4662248,-0.022532392,0.42545867,-0.3996697,0.3897804,-0.41294423,-0.41599518,0.7255348,-0.43613553,-0.8244807,-0.5279772,1,1
6,1.3327272,0.048047274,0.7839352,0.003515739,0.68959904,-1.3090439,0.49880993,0.077437125,1.139918,0.09737915,-1.0052087,-0.05720371,-0.8099312,1.1105462,-0.08042352,0.6342324,-0.7882217,-0.7349283,-0.13007085,-0.17335653,0.08942157,0.011472683,-0.49082446,1.6162297,0.04708364,-0.7035618,0.30523506,-0.04817912,0.20376934,0.27361685,0.4281786,-0.8332911,-0.62976253,0.9128812,0.6764512,0.58471185,2.5105958,0.6621279,1.039152,-0.5139862,1.3787448,-0.75437295,1.0630008,-0.86973387,-0.41206664,0.4165914,-1.22325,-0.31368664,0.58802235,-0.4662248,-0.022532392,0.42545867,-0.3996697,0.3897804,-0.41294423,-0.41599518,0.7255348,-0.43613553,-0.8244807,-0.5279772,1,1
7,1.891342,-0.38336575,-0.4274916,-1.733099,0.27364177,0.038538307,-0.9869087,-0.26126984,-1.2506316,0.09447935,0.8388922,1.6659563,0.5930428,-0.47577313,1.6123371,1.2597718,-0.32587317,-0.34105277,-0.111781955,0.38709965,0.3844964,0.45272654,-0.6713394,-0.08485921,0.30330372,-0.1929327,0.27460596,-0.68137074,0.10040033,1.1843617,0.65001684,-0.7035013,2.7465076,-0.19670294,0.6797109,0.3732326,0.70896715,-0.37501532,-1.4400237,0.4123945,0.902159,-1.28388,-1.0207845,-0.14488563,-0.057084113,-1.040412,-0.12413263,0.13621907,-0.5990671,-0.25189218,-0.08562391,0.4209254,-0.8826674,0.042125016,-0.73519456,-0.28425157,-0.15468726,0.16526783,0.25048065,0.9218497,1,1
8,1.891342,-0.38336575,-0.4274916,-1.733099,0.27364177,0.038538307,-0.9869087,-0.26126984,-1.2506316,0.09447935,0.8388922,1.6659563,0.5930428,-0.47577313,1.6123371,1.2597718,-0.32587317,-0.34105277,-0.111781955,0.38709965,0.3844964,0.45272654,-0.6713394,-0.08485921,0.30330372,-0.1929327,0.27460596,-0.68137074,0.10040033,1.1843617,0.65001684,-0.7035013,2.7465076,-0.19670294,0.6797109,0.3732326,0.70896715,-0.37501532,-1.4400237,0.4123945,0.902159,-1.28388,-1.0207845,-0.14488563,-0.057084113,-1.040412,-0.12413263,0.13621907,-0.5990671,-0.25189218,-0.08562391,0.4209254,-0.8826674,0.042125016,-0.73519456,-0.28425157,-0.15468726,0.16526783,0.25048065,0.9218497,1,1
9,1.0997077,0.051555384,0.5932877,-0.3166961,0.31086957,0.38218918,0.3083538,0.15892774,-1.0236588,-0.9958321,0.3037377,-0.6116597,0.1642448,1.3059189,0.9544128,1.8474607,-0.11895597,0.31289482,-0.3513655,-0.7125827,-0.7518903,-0.19337986,0.64443576,0.7223633,-0.53930736,0.816556,-0.67503095,0.15789703,0.582926,-0.34386784,0.34181178,2.3454502,-0.80644155,-1.6135219,1.3444023,-0.43666512,0.9500189,0.6815144,0.31008145,1.358182,-0.60534835,0.3129201,-0.30998018,0.74871826,-1.108366,-0.57600725,-0.22260223,-0.01723048,-0.51018023,-0.6113824,0.5677413,-0.8211414,-0.46229887,-0.9835168,-0.34387746,-0.14548534,-0.21790603,-0.109544925,-0.1674004,-0.0020685866,1,1
