,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-2.3727698,1.403881,-0.9932604,-0.07042589,-0.3794632,0.30229536,0.010447726,0.09977675,-0.8812111,-0.23260196,0.071644716,-0.24044664,0.076951325,-0.21641856,0.07090612,-0.1057767,0.010079816,0.04869871,0.29734838,-0.098413676,0.20977513,0.021595702,-0.060691528,-0.10095164,-0.22552152,-0.030229412,0.09089255,0.13720658,0.37202275,-0.03174442,-0.3614603,-0.853639,0.08569274,-0.4082021,0.33594787,-0.19905527,0.13782835,-0.77873456,0.16214529,-0.61454606,-0.49259037,0.7542701,1.5387018,0.64908004,-0.6726463,-0.070604056,-0.8075324,0.450323,-0.5116958,-0.40050945,-0.014342267,-0.6835917,0.06871534,0.0769048,0.9730113,0.07284274,-0.22902134,0.12347748,0.057554524,-0.06268738,1,1
1,-0.38863444,-0.80409634,-1.0953141,0.55938464,-0.57994264,0.36555463,-0.21336381,-0.20403105,0.26199174,-0.51731306,-0.57504547,0.015941009,0.38113558,-0.27529886,-0.014165856,-0.0027586222,0.1735287,0.22808611,0.76489735,0.37806347,0.041681033,0.28228092,-0.349693,-0.07635249,0.07287741,-0.10927824,0.47941563,-0.03428927,-0.105064414,-0.3889668,-0.83211994,0.9322615,-1.1974232,-0.6145301,0.79664934,0.1492472,-0.48065484,-0.3778082,-1.1923705,-0.12930319,-0.4535343,-0.09017947,-0.29129508,0.27794015,-0.12978467,0.9376046,0.16240913,-0.035587728,0.43665087,-0.21197005,0.4477707,-0.16047189,0.06823358,-0.33371687,-0.30968887,0.41656747,0.5443862,-0.44935757,0.44567215,-0.26159626,1,1
2,-0.13889897,-1.8349265,0.8821392,0.57769215,0.5772354,0.85300255,0.7686615,-0.9468982,-0.58898723,-0.18161516,0.2516589,0.83603144,-0.17974626,-0.3568712,0.061939534,0.0077747963,-0.13177933,0.10359092,-0.13117704,-0.35869366,-0.2787529,0.2052315,0.31683755,-0.015614014,-0.5006446,0.7390315,-0.22069201,0.25875217,1.4004476,0.3255666,-0.25063312,-2.1531343,-0.14540313,1.10307,-0.97271144,-0.9111627,0.21637458,-1.0456179,0.21331346,-0.5059786,0.5434249,0.25823334,0.6503594,-0.18045053,-0.101882145,0.5070499,0.124516755,0.8158327,0.39505336,0.3099337,-0.06822082,-0.75176924,-0.2536836,0.5419879,0.8550091,0.09356353,0.27197024,0.5116542,0.036859274,0.5913236,0,1
3,-1.6750778,-0.1374006,-0.6561961,0.52090555,-0.31137568,-0.40204927,-0.28035983,0.9932097,0.44545218,-0.013910786,0.37332577,0.26845387,0.028590392,0.038163833,0.03378004,0.4378032,0.76060575,0.50782037,0.011116147,-0.7161281,0.27712774,-0.10813252,0.23761812,-0.08837051,-0.3378492,0.1377439,0.4225917,-0.0858917,-0.15409341,0.15888184,0.45840314,-0.94750917,-1.4339075,-0.45215714,0.2661207,-0.25839818,-0.18959382,0.077973634,-0.9082844,0.53129256,0.5588521,0.33415693,0.9408591,-0.3373276,-0.22219539,0.58475184,-0.4158486,-0.49710658,0.9586338,-0.8947488,-0.40582198,-0.26619548,-0.16839485,-0.0017363057,-0.45530787,0.1764176,0.17664412,0.07852964,-0.5105043,0.4184599,1,0
4,-0.03725496,-0.9934083,-0.79117525,0.58186454,-0.026287764,-0.86858416,-0.7961437,0.6240692,0.005353082,0.42175025,0.18010432,-0.7304724,-0.90342444,0.21948467,0.49471903,0.17413978,0.14015158,0.5494944,-0.61174047,-0.50261056,-0.519912,0.2643416,-0.051813412,0.21474731,-0.16922554,0.90885216,0.13483317,-0.31948185,-0.08404179,0.12716821,0.32331544,-1.162531,-1.2229831,0.83691204,-0.045123436,0.36685827,0.12228607,0.014296131,-0.66367084,-0.47530994,0.01503285,0.16901278,0.42450947,0.103863165,-0.35097063,0.26243007,0.49789304,0.014932536,-0.6515671,-0.3449558,-0.47980708,-0.27455425,0.46402073,-0.61296946,0.5236654,-0.22639261,-0.1524598,-0.349327,-0.75866795,1.0330156,0,1
5,0.7807919,-1.4820554,-0.39193732,-0.31343263,-0.2551142,0.022296296,0.17155932,-0.21044703,0.3466459,-1.0324522,1.2448701,0.5895041,-0.4176939,0.41632438,0.5228829,-0.13032793,0.13461141,0.081929415,0.10565522,0.73577815,-0.21397531,-0.22424437,-0.21114269,-0.98150283,-0.062344134,0.28459835,0.28678274,-0.29968423,0.23134467,-0.18773052,-0.0052823555,-0.34768298,-0.8008563,-0.013962383,0.5316617,0.44164586,0.123899676,-0.40731215,0.30750883,-0.01729548,0.11283778,0.85090405,0.70268893,0.06950739,-0.9245018,0.6498674,0.21850896,-0.05643988,-0.04409822,0.098611504,-0.16161413,0.11733427,-0.627231,-0.07645437,0.3044597,0.06576021,-0.08994431,-0.54428166,-0.39903927,0.2828194,1,1
6,-0.49862704,-0.08891107,-0.4930246,-0.24431062,-0.312312,-0.2435072,0.35240504,-0.48654723,-0.73198736,-0.10760425,0.51246977,0.007227231,0.16301435,-0.28894866,-0.07262909,0.72752106,-0.17625977,-0.36596575,-0.20836054,-0.95868134,0.056109533,0.55556303,-0.48394555,-0.21733978,-1.1959381,-0.020030513,0.43533707,-0.30555108,-0.2544793,0.09993067,-0.6121098,-0.22963344,0.4792372,-0.2663388,-1.0344234,-0.33300275,-0.83685166,-0.46737427,-0.61605394,0.19904867,0.37734294,0.40859172,0.053651873,0.35996288,-0.9962772,0.8813007,-0.68215257,0.7943476,0.06660089,-0.10607788,-0.48496085,0.1917629,0.5018281,0.42563772,0.45866317,0.9108571,-0.43380237,0.42452687,-0.23959284,0.07326966,0,1
7,0.29826283,-0.88966733,-1.2430438,0.10241001,0.3419655,0.5251102,1.5956734,0.124380924,-0.06474296,-0.17213477,-0.0080189705,-0.8558798,0.30329937,0.29815054,-0.041198403,0.27068585,0.24579678,-0.2492725,-0.04284506,0.034942985,-0.26988488,-0.30282944,0.3292228,0.6787517,-0.30586368,0.398014,0.666221,-0.27602974,-0.08199613,-0.15388,-0.7553789,0.12566121,-0.61123586,0.54228675,-0.28492203,-0.3219036,-0.75842273,-1.0426829,-0.8310401,-0.33205083,0.8932141,-0.22048597,0.7093209,0.06132886,0.071708344,0.46860376,-0.20165403,-0.21739548,-0.5171902,0.11977509,-0.52569026,0.4158442,0.3108766,0.50416535,-0.5317216,-0.12607712,0.3494224,-0.11748189,-0.22944084,-0.38598365,1,1
8,-0.96742743,0.33995885,-0.27917737,0.21041717,-0.021315224,0.079501286,0.6264406,0.28977296,0.012979489,0.13129401,-0.055693723,-0.5206752,0.09826031,0.28123158,-0.52351934,-0.34375727,0.09389409,-0.02916721,-0.054193147,-0.3899959,0.26267695,0.20611933,-0.2398191,0.27880496,-0.7864957,0.17916973,0.62814987,-0.12070154,0.45409396,-0.14207134,-0.03270776,-1.3536305,0.09238461,-0.10517195,0.67606115,-0.40085515,0.49911717,-0.09942429,-0.9606878,1.3879833,-0.04069891,-0.40868354,-0.2781011,0.19006576,-0.2811137,0.43532103,-0.33286873,-0.0970965,-0.021042347,-0.7045864,-0.10723569,-0.0026698075,-0.3376987,0.92313945,0.48617625,-0.7072203,0.041952237,0.42001224,-0.93616354,0.27432743,1,1
9,0.7638401,0.57331,-0.2501849,-0.13749039,0.042387664,0.41069877,0.44800183,0.26186487,0.08115487,0.42927516,1.4080454,0.21799505,0.35997546,-0.7314956,-0.9569822,0.10784577,-0.32913554,0.4258114,-0.57053524,0.38574448,0.16280676,0.34651026,-0.41941223,0.10934915,-0.3625475,-0.15796527,0.31451085,0.4555609,-0.7164346,-0.24844249,0.39040896,0.44521898,-0.15831698,-0.5018227,0.6526658,0.90718293,0.63218975,0.036431283,-0.92561615,0.72925425,0.072622746,-0.14107552,-0.06164774,-0.47104973,-0.15009454,-0.19375533,0.38038117,-0.4487051,-0.017195672,0.3354863,-0.26867208,0.79921985,0.010772109,0.9710828,0.35504255,-0.09258491,0.3117515,-0.19883604,0.14535896,-0.18421468,1,1
