,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.7087698,0.5089665,-0.58225864,-0.33901754,-0.9681635,0.0032177716,-0.4078331,-0.19550648,-0.37740892,0.51605326,-0.30190215,-0.051337734,0.15400295,0.34064612,0.033680916,-0.16136883,0.24118075,0.2671464,0.12401256,-0.35590923,0.44888613,0.12386775,-0.17479858,0.5189587,0.25803062,-0.22038266,-0.012204263,0.19412771,-0.111248665,0.22269529,-1.6457841,0.2951933,-0.73070085,-0.9452455,-0.7745483,0.5077596,-0.17253506,-0.14502408,0.15719096,-0.5967328,0.0308653,-0.2900471,-0.5868086,0.38377452,-0.10041355,-0.66665655,-0.21153042,-0.08414958,-0.026081162,0.84706724,0.4192271,-0.78697115,0.9638499,0.14927845,-0.41807944,0.23632896,-0.77309,-0.3953401,-0.1251536,-0.39073014,1,1
1,-0.033928625,0.4019301,2.0535755,-0.53364885,-0.42410237,0.3828777,0.24383181,-0.113824,0.084927656,-0.6127285,1.1227126,0.71390104,-0.03057376,-0.08977334,0.10349353,0.21057615,-0.06210409,-0.06396937,0.11741176,-0.366332,0.052550204,0.32892132,-0.23058978,0.29998383,0.44978356,0.51899564,-0.3755021,0.5143957,0.3121877,0.16388567,1.40328,-1.277458,-0.06658212,0.88809717,0.23027714,0.8575631,-0.4448771,-0.29285514,-0.2648143,-0.38259608,-0.5817769,0.17422345,0.7980379,0.14376485,-0.083591014,-0.12232055,0.5609255,-0.30136305,-0.84713244,-0.20776686,-0.58622634,-0.6138587,0.36350116,0.6706096,0.42211068,-0.24927,-0.18462846,-0.32753682,-0.31485978,-0.4406972,1,1
2,-1.113379,0.8505682,-0.09655649,-0.31873292,1.4318054,0.055567928,0.19914469,-1.0231346,-0.12055496,-0.10436703,-0.22872442,-0.044055827,-0.37618798,0.12078421,-0.18418242,0.08733666,-0.13571297,-0.31595302,0.08746776,-0.1030546,0.17975183,0.83426166,-0.14928791,0.3558215,0.54378194,-0.700879,0.10715605,-0.19063579,-0.19660766,0.11513608,0.6192459,-1.9052311,-0.17734073,-0.6643214,1.3536804,0.85697126,-0.5724931,-0.03369075,-0.12137644,-0.519539,0.6771965,0.37061083,-0.3112564,-0.2501809,-0.12045294,0.03840667,-0.19201744,-0.7404711,0.7166946,0.16134802,-0.1374665,-0.7790086,0.97523606,0.098155595,-0.031888068,0.33004814,-0.07298295,-0.2610319,-0.1497744,0.21366248,1,1
3,-0.09235606,1.0587072,1.0911615,0.29360238,0.16992836,0.2536587,0.9033687,0.19856265,0.2270675,-0.18585886,-0.2426465,-0.41154337,-0.5841436,0.07501313,-0.20985048,-0.102322206,-1.0679948,-0.202478,-0.82295287,0.653685,0.15899593,-0.08927828,0.32865602,-0.0009033829,0.24321918,0.63878226,0.1935764,-0.8129643,0.26048765,-0.83842623,0.83083296,-0.523313,-0.49148065,0.3231226,-1.6607151,-0.104154736,0.04702133,0.021705069,-0.22699445,0.42310262,0.266936,-0.29742238,-0.17326349,-0.65271163,-0.57297015,0.3467455,0.33371115,0.46618557,-0.14221998,0.47972175,-0.35501042,-0.0665087,-0.08350957,0.2068049,-0.62435746,0.63347334,0.04003509,0.18300198,0.86941206,0.2552894,1,1
4,-0.6376748,1.1548681,2.002633,-0.16640742,0.22779839,-0.11402304,-0.018119466,-0.4577999,-0.021990987,-0.26135093,-0.9294938,0.16208494,-0.59836495,0.7942736,0.9997509,-0.45827955,0.025755407,0.5476312,0.03223452,0.15708135,0.3726716,-0.12252234,0.23203462,-0.10274748,0.50060904,-0.26701713,-0.3064943,-0.20252907,-0.48614419,-0.41320986,1.14447,-0.84952945,-1.2596278,1.0714452,-0.14517,-0.05803734,-0.9986679,0.43267787,0.68762827,-0.6966256,0.634139,-0.15374799,0.12553227,-0.9822624,-1.0793722,0.47833136,0.39714175,-0.06892006,-0.6321619,-0.62223506,-0.39468893,0.14146392,1.027187,0.25476184,0.49866012,-0.45394343,0.25948137,-0.23216355,-0.53879774,-0.33270347,1,1
5,-0.72526085,0.23261762,-0.34199613,-0.89559174,-0.00044142175,-0.23245373,-1.5184667,0.14471473,-0.4580176,0.044350363,-0.3620668,0.36210462,-0.31885463,-0.18008065,-0.819207,-0.24850158,0.24679203,0.27524516,-0.16979635,0.40750393,-0.23961635,-0.24877588,-0.13999456,0.6232281,0.053795304,0.91692746,1.175417,0.4891355,-0.20848663,0.1588261,1.520335,-1.2025646,0.30904368,-1.0073438,0.17398831,-0.029541053,-1.48932,0.1568382,0.18279451,-0.3556034,0.49668992,-0.40751418,-0.8837335,0.44356802,-0.64534664,0.6506828,0.43734115,0.035005942,-0.21000862,0.8642081,0.48096478,-0.2907211,-0.63299865,-0.22847971,0.5296024,-0.8125026,0.1753054,-0.4269381,0.6886209,-0.031862058,1,1
6,-0.37670827,0.4413427,-1.360565,-0.23232391,-0.13430656,-0.064276636,-0.34710473,0.38996887,0.0021487623,0.9399331,1.4058166,0.5065158,-0.5064368,-0.06608103,-1.393749,-0.8252523,0.08180045,-0.05286388,0.57863295,0.018430503,-0.1356163,-0.112125486,-0.4002386,0.14572927,-0.5921833,-0.041469276,-0.17419644,0.14120997,-0.05892121,-0.11767486,0.1950439,-0.3275267,1.1267726,-0.781619,-0.5984136,0.020945542,0.3201933,0.47545317,0.35959348,0.54084533,1.2167239,0.65193236,-0.20491445,0.89726585,0.17290021,0.32768172,-0.7179234,-0.3100902,1.3023026,-0.826427,-0.37001365,-0.0033000708,0.11591348,0.120169125,0.18373017,-0.12967607,0.47336537,-0.81772476,0.6700222,-0.7993555,1,1
7,0.56304973,-0.4556055,0.50183547,-1.5115329,-0.41191745,-1.2775781,0.1364576,-0.48274267,0.5839089,-0.9018384,0.0639783,-0.36244467,0.030666623,-0.7207214,-0.19990599,-0.09080191,-0.6302824,0.7501961,0.2654668,0.19267248,0.14821866,-0.020532101,0.5065195,-0.45224714,-0.074930124,0.016381547,-0.16602872,0.07999238,0.7015863,0.47595906,-1.089337,0.25025603,0.8988844,0.4208184,-0.25097534,-1.053719,-0.24337035,-1.1370802,0.30361864,-1.0798631,-0.790213,-0.13169128,-0.41241267,0.19826089,-0.47421688,-0.36591047,0.06620531,0.27494484,-0.5049104,0.12805918,-0.40336353,-0.24034715,0.081808016,0.034954436,-0.06920645,-0.7377842,0.09845671,0.15150738,0.23188478,-0.09999049,0,1
8,-1.1357778,1.2266166,0.35824922,-0.29416418,-0.687431,0.62738824,-0.15674576,0.070659906,0.12022571,0.7812588,0.16494623,0.38833606,-0.16213268,0.27507517,0.63398695,0.2170622,-0.05885472,0.28349668,0.27332845,0.51852995,0.27264798,0.4462605,-0.20780727,-0.13357659,0.57216406,-0.45047352,-0.5672772,0.56488454,0.34035552,0.18207741,0.99126613,-0.8937558,1.1665305,0.07041977,-1.071171,0.4526235,-0.17586762,-0.25946403,0.09985869,0.23478879,-0.6035458,0.55931973,0.75060105,-0.03356874,0.6804435,-0.9384481,-0.42997977,0.23753361,0.63996875,-0.37058774,0.60766035,0.5157979,-0.23757252,-0.20740339,-0.008609332,0.84963536,-0.08619129,0.44423643,-0.2950924,-0.4841324,1,1
9,-0.22923948,-1.6777877,0.15634567,0.6352912,0.48836356,-1.1252809,0.65509045,0.60076445,0.47766507,1.5767467,0.33461958,0.7929621,-0.74586624,0.24729398,-0.12350193,0.97656727,0.0890806,-0.8294716,0.18748142,-0.037309505,-0.11870068,-0.23902388,0.24629298,-0.7555561,0.10479312,-0.34386745,-0.068177715,-0.057336837,-0.09045977,0.56166077,-1.160966,0.47153172,1.1924025,1.1044902,0.336231,-0.69929373,0.7751329,0.5451677,0.03212227,0.14736317,0.3760301,0.058821116,0.43977457,-0.01804746,-0.3074835,-0.86503,0.46716192,0.6614474,-0.06243405,0.62266344,-0.032099426,-0.35743397,-0.25459486,-0.0155437365,-0.26105657,0.1751777,0.30062786,-0.35086048,-0.9075897,0.75628275,1,1
