,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.2430196,-1.5434077,-0.34910336,-0.19416003,0.053217247,0.2727155,1.3800485,0.72878176,0.41919175,0.047103524,0.039482176,0.048191667,-0.5574178,-0.81078684,0.23856136,0.29282638,0.28039882,0.039726466,0.5726435,-0.36409652,0.27625015,-0.21868712,0.04064361,0.5173044,-0.407547,-0.1423316,-0.01710736,-0.12963235,-0.064468436,-0.087896824,-0.4053446,-0.23168889,-0.75024384,0.047920123,-1.0056398,0.016979717,-0.9060702,0.12707075,1.7288561,-0.48381352,0.81131375,0.3605332,0.39165896,0.50780594,-0.6809756,0.6437236,-0.15587917,0.21146692,0.06787936,0.71397924,0.6081418,0.44847012,-0.27130106,-0.09873463,0.42780918,-1.0289485,-0.8270224,-0.6835532,0.506203,0.4650752,1,0
1,-0.48952025,0.15360025,0.42207366,0.48298168,-0.4067885,-1.0350978,-0.20309778,-0.8006418,-0.66384166,-0.6187149,0.14822641,-0.20091574,0.13968247,-0.8958627,-0.22868927,-0.036593895,-0.20893236,0.5281932,0.82825625,0.42918044,-0.24770853,0.16390024,-0.6717364,0.27765167,-0.30951184,-0.7803578,-0.424833,0.22950017,-0.2647641,0.23790087,-1.5380429,1.0588946,0.36382413,-0.91081464,-1.3448596,-0.49316347,-0.20297146,-0.18348885,0.29700172,0.011572465,0.0070149675,0.03260401,0.316747,0.54852873,0.16209313,-0.14777793,0.24516954,-0.21660152,-0.28592187,1.2683606,0.76265097,-1.2459657,-0.63611853,0.31776688,0.27298084,0.45279738,0.14975134,-0.29592854,-0.17842916,0.06687032,1,0
2,-0.21459699,0.7769755,-0.6759543,-1.1640102,0.29525322,-1.2560186,-1.6839705,-0.778693,-0.54310113,0.4716954,-0.8836138,-0.85770667,-0.57168984,-0.13541164,0.6866658,0.16584101,0.61759084,0.58109915,0.676592,0.23740576,-0.6488351,0.07534316,-0.07999107,0.15746792,0.096527934,-0.24692586,-0.7902055,0.3113932,0.02971761,0.19109794,-1.0808085,0.31734687,-0.26822126,0.30636904,0.7467438,0.02152814,0.6272456,-0.101383284,0.2319028,-0.8989966,0.10177019,0.4669179,-0.77748215,-0.47973844,0.03136015,-0.15376121,0.27110362,0.11246936,0.68040323,0.8330189,-0.32427862,-0.4633922,-1.0214449,-0.5345969,-0.34038007,-0.008914653,0.18088508,0.0655121,-0.5151705,0.6535837,0,0
3,-1.0502405,0.673314,-0.07199826,0.23444352,-0.0823631,0.69522035,-0.39464676,0.014244568,-0.06996112,1.4849129,0.51189655,1.2636893,-0.5616363,-0.29948133,-0.33785582,0.54628056,-0.020704046,-0.38226247,-0.63941556,-0.5808462,-0.2560243,-0.25283524,-0.010916442,-0.25743908,-0.11881307,0.23878655,0.67070794,-0.44239983,-0.112354085,-0.20626703,1.0429323,-1.296935,-0.383618,1.0176202,-0.76393896,0.6362291,0.30814552,-0.95349085,-0.28127253,-0.44956988,0.17645383,-0.15412447,-0.010938749,-0.6628716,-0.08757522,-0.46844056,0.24691512,0.7571013,0.45883274,-1.2283025,1.3891543,-0.029384952,-0.82879245,-1.5980293,-1.1643713,0.061964557,0.18709366,0.1682572,-0.9362837,0.72135884,1,0
4,2.6059144,2.180343,-0.27853304,-0.39855996,-0.28828713,1.6637751,-0.3885372,0.3567334,0.12680408,1.454488,0.49492854,1.7650512,-1.1600701,-0.28552788,-0.09954421,1.1896416,1.1081823,-0.9593303,-0.40953603,-1.1304555,-0.3850883,-0.4227656,0.17191522,-0.12460965,-0.57637715,0.21334128,0.5648635,-0.21054497,0.031856652,-0.37428653,1.0429323,-1.296935,-0.383618,1.0176202,-0.76393896,0.6362291,0.30814552,-0.95349085,-0.28127253,-0.44956988,0.17645383,-0.15412447,-0.010938749,-0.6628716,-0.08757522,-0.46844056,0.24691512,0.7571013,0.45883274,-1.2283025,1.3891543,-0.029384952,-0.82879245,-1.5980293,-1.1643713,0.061964557,0.18709366,0.1682572,-0.9362837,0.72135884,1,0
5,0.33784807,0.42552793,-0.38255578,-1.3102889,0.035445347,0.24880105,-0.9877982,-0.4311689,-0.6567918,0.087989986,0.7083164,-0.18666002,-1.0388262,-0.08646628,1.1954029,-0.15912019,-0.7138559,0.16595858,-0.40953055,-0.441271,-0.26103234,-0.578935,-0.60874057,0.3297786,-0.3291852,0.45595187,-0.28713816,0.78549397,0.10419802,0.106828414,-0.3440982,0.04782343,-0.32590237,0.08438349,0.45745304,-0.040425405,0.31052148,0.061716788,-0.51741254,-0.9381858,0.31512713,-0.89989614,0.18651304,1.4107618,1.3788092,0.05875516,0.8673232,0.10566893,-0.19961305,0.67944086,-1.2388582,-0.08282747,-0.4447304,-0.28082883,-0.39176798,0.5812182,-0.32388887,-0.09777357,0.55252844,0.9145899,1,0
6,-1.541335,-0.7340334,-0.5591595,0.25527132,-0.7895207,0.58541584,0.06818793,0.42017728,-0.26007587,-0.3340316,0.3907469,0.035123058,-0.5509787,0.038847446,-0.065859154,-0.18310517,0.23221862,0.5815491,-0.35021675,-0.22815475,-0.00032627955,0.28675354,-0.2794037,-0.39481515,0.3692748,-0.49400938,-0.031301077,-0.29830116,0.4577286,0.35767755,-0.38289097,-1.0966352,-1.6180992,0.32327276,0.089364186,-0.07300018,-0.6685048,0.0956814,-0.72185385,0.69636667,-0.2558617,-0.7352237,0.09731403,-0.07434718,0.31915605,0.6727654,1.1359715,0.354896,0.6642305,0.13838774,0.32047284,-0.34392565,0.98206913,0.9791533,0.48115247,0.14034708,0.2554819,-0.27659112,-0.16965306,0.63891745,1,1
7,-1.541335,-0.7340334,-0.5591595,0.25527132,-0.7895207,0.58541584,0.06818793,0.42017728,-0.26007587,-0.3340316,0.3907469,0.035123058,-0.5509787,0.038847446,-0.065859154,-0.18310517,0.23221862,0.5815491,-0.35021675,-0.22815475,-0.00032627955,0.28675354,-0.2794037,-0.39481515,0.3692748,-0.49400938,-0.031301077,-0.29830116,0.4577286,0.35767755,-0.38289097,-1.0966352,-1.6180992,0.32327276,0.089364186,-0.07300018,-0.6685048,0.0956814,-0.72185385,0.69636667,-0.2558617,-0.7352237,0.09731403,-0.07434718,0.31915605,0.6727654,1.1359715,0.354896,0.6642305,0.13838774,0.32047284,-0.34392565,0.98206913,0.9791533,0.48115247,0.14034708,0.2554819,-0.27659112,-0.16965306,0.63891745,1,1
8,-0.74212396,0.538677,0.3490062,1.211697,-0.5174278,-0.3872612,-0.07902964,0.12433819,-1.1284821,-0.9918161,0.014519408,0.13547984,-1.1400764,-0.59713477,-0.11761074,0.1668933,-0.32555795,-0.2494517,0.3635811,-1.1424305,-0.23565295,-0.18449403,-0.6502179,-0.38663244,0.5000366,-0.6100882,0.3314935,-0.80646217,0.23996969,0.69979113,0.092236586,0.5817478,1.2933602,-1.0677938,-0.6012685,0.56634134,0.7776197,-0.008567601,1.9910133,-0.6168436,0.24531996,-0.9321398,-0.47366935,0.2527498,-0.64789164,0.97087055,0.094983354,0.3838205,0.384435,0.5076544,-0.40411025,0.7621707,0.02304615,-0.4688987,0.32100356,-0.0297587,0.34680414,0.73767984,-0.3262267,-0.2629074,1,1
9,2.2649732,1.1296599,-0.7055516,1.2046722,0.26108986,0.4079161,0.7094724,-0.015398987,0.1493416,-1.2227783,-0.76208335,-0.38436225,0.31879574,0.936733,0.802743,0.01452554,0.0026357174,-1.1129215,0.033145696,0.39492822,-0.7184373,-0.26357996,-0.09176414,0.63089937,-0.38199395,-0.20774356,0.98459095,-0.16128346,0.19560346,0.1959961,1.3942521,-1.9134891,0.15469961,-0.8480972,0.121147975,1.1442498,-0.5549162,-0.37788087,-0.4494357,-0.7350637,1.182651,-1.06307,0.4191047,-0.5589448,-0.18921657,-0.44221902,0.79612625,0.49142352,0.44348973,-0.46398902,-0.6291295,-0.40818268,0.40967667,0.6945375,-0.6641722,0.63320315,-1.2271707,0.4526183,-0.6867039,0.8345613,1,1
