,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,1.6730855,-0.16316032,-0.007998146,1.5266426,-0.25297335,0.68651134,-0.76314175,0.0899172,0.6355928,0.010778794,0.12330126,-0.36374712,0.09793709,-0.2961359,-0.4822759,0.65560645,-0.66266555,0.1812498,-0.46741349,-0.45489466,0.12011113,-0.7403023,0.26430374,-0.119468495,-0.016068071,-0.0704249,0.29709843,-0.45437354,-0.22872517,0.759644,-0.63823193,-0.4524442,0.9822328,2.4785986,0.8305082,-0.7850859,-1.0627537,0.5229684,-0.6608225,-1.2842555,-1.6338949,-0.14627145,1.402545,-0.023465263,-0.48159552,0.026604906,0.53366625,-0.482201,0.40049848,-0.32450566,0.1098211,-1.0841047,-0.031862468,-0.42333892,0.6560323,0.9743019,0.6205045,-0.25814235,-0.62602043,0.32857394,1,1
1,2.0059943,-0.35911736,0.04286059,-0.4870494,-0.17342445,-0.58037925,0.99156046,-0.9599864,0.17642094,0.07117738,-0.6297476,-0.115691744,-0.17023084,0.57148015,-0.3250016,-0.72005564,-0.677548,-0.12242524,0.37594903,-0.34963375,0.057884596,0.610417,0.41508418,0.8749249,0.5248065,0.09789913,0.0020166114,-0.43029532,0.14976725,0.19566363,-0.4176345,-0.1348284,-0.5221131,0.82914215,-0.034573644,0.8431284,1.8277181,-0.07987033,-1.0143096,-1.1125124,-0.8154825,0.32139513,-0.549726,-0.8940646,0.029508157,-0.08411119,0.33538657,0.3089701,-0.7427323,0.45253462,-0.0040560253,0.32916915,-0.48740253,0.5921437,-0.09543178,0.10032047,0.2414692,1.7380184,-0.73051023,1.6180191,0,1
2,2.0059943,-0.35911736,0.04286059,-0.4870494,-0.17342445,-0.58037925,0.99156046,-0.9599864,0.17642094,0.07117738,-0.6297476,-0.115691744,-0.17023084,0.57148015,-0.3250016,-0.72005564,-0.677548,-0.12242524,0.37594903,-0.34963375,0.057884596,0.610417,0.41508418,0.8749249,0.5248065,0.09789913,0.0020166114,-0.43029532,0.14976725,0.19566363,-0.4176345,-0.1348284,-0.5221131,0.82914215,-0.034573644,0.8431284,1.8277181,-0.07987033,-1.0143096,-1.1125124,-0.8154825,0.32139513,-0.549726,-0.8940646,0.029508157,-0.08411119,0.33538657,0.3089701,-0.7427323,0.45253462,-0.0040560253,0.32916915,-0.48740253,0.5921437,-0.09543178,0.10032047,0.2414692,1.7380184,-0.73051023,1.6180191,0,1
3,1.7200035,0.20225805,-0.29378033,1.0900236,-0.6746004,-1.4308515,0.04532297,0.6512091,0.1963138,-0.037213504,-0.117649786,0.37779284,0.23726593,-0.07467122,0.14340171,-0.34289193,-0.24019152,-0.12526813,-1.321835,-0.23001833,0.03354135,-0.34483948,-0.39599818,0.018026128,-0.26288557,-0.38027817,0.08988655,-0.5056149,-0.6718325,0.8615577,5.9625583,-0.23588824,0.0029959008,-0.31623507,-0.07257727,-0.19843262,-0.0022613108,0.0442232,-0.067095354,0.011408649,0.05953097,-0.062486395,0.029514419,0.025277779,-0.030674588,-0.010197394,0.025002226,0.014898911,0.029486531,-0.022985518,0.008737322,0.010728151,-0.006671408,-0.0024843663,-0.0065390877,0.01620253,0.014067824,-0.0027109832,0.00088746846,-0.01479315,1,1
4,1.2307808,-0.11534526,-0.47340477,0.8148718,-0.37601137,-1.6692,0.82459486,-0.4900177,0.33316907,0.86713684,-0.34574702,0.47421876,-0.11912624,-0.00903894,0.8601295,-0.91189736,-0.8219292,0.07926661,0.20079108,-0.190835,-0.259996,-0.32045034,0.14516999,-0.7739942,0.4083825,0.14066844,0.7783587,-0.91400707,0.2751016,0.973478,-1.1528827,-1.1541674,1.602406,2.219463,-0.087608844,-1.4633613,-0.48296493,0.12910098,-0.5693046,0.4793182,-0.34658158,0.39301044,0.09423984,-0.11519887,-0.16091385,0.3932732,-0.50961614,-0.11965441,-0.58238757,-0.07946461,-0.3478982,-0.14871414,-0.03264858,-0.24664679,-0.52822316,0.10933238,-0.51115847,-0.60471857,0.28752747,-0.73771036,1,1
5,1.2307808,-0.11534526,-0.47340477,0.8148718,-0.37601137,-1.6692,0.82459486,-0.4900177,0.33316907,0.86713684,-0.34574702,0.47421876,-0.11912624,-0.00903894,0.8601295,-0.91189736,-0.8219292,0.07926661,0.20079108,-0.190835,-0.259996,-0.32045034,0.14516999,-0.7739942,0.4083825,0.14066844,0.7783587,-0.91400707,0.2751016,0.973478,-1.1528827,-1.1541674,1.602406,2.219463,-0.087608844,-1.4633613,-0.48296493,0.12910098,-0.5693046,0.4793182,-0.34658158,0.39301044,0.09423984,-0.11519887,-0.16091385,0.3932732,-0.50961614,-0.11965441,-0.58238757,-0.07946461,-0.3478982,-0.14871414,-0.03264858,-0.24664679,-0.52822316,0.10933238,-0.51115847,-0.60471857,0.28752747,-0.73771036,1,1
6,1.2307808,-0.11534526,-0.47340477,0.8148718,-0.37601137,-1.6692,0.82459486,-0.4900177,0.33316907,0.86713684,-0.34574702,0.47421876,-0.11912624,-0.00903894,0.8601295,-0.91189736,-0.8219292,0.07926661,0.20079108,-0.190835,-0.259996,-0.32045034,0.14516999,-0.7739942,0.4083825,0.14066844,0.7783587,-0.91400707,0.2751016,0.973478,-1.1528827,-1.1541674,1.602406,2.219463,-0.087608844,-1.4633613,-0.48296493,0.12910098,-0.5693046,0.4793182,-0.34658158,0.39301044,0.09423984,-0.11519887,-0.16091385,0.3932732,-0.50961614,-0.11965441,-0.58238757,-0.07946461,-0.3478982,-0.14871414,-0.03264858,-0.24664679,-0.52822316,0.10933238,-0.51115847,-0.60471857,0.28752747,-0.73771036,1,1
7,-1.3469098,-0.12269798,1.2547851,0.8201793,1.1758187,-0.60982573,-0.38981986,-1.2394137,0.01248784,0.74521863,0.063382976,-0.00555259,0.47136435,0.42642164,-0.0010028481,0.29471466,0.23956414,-0.24198452,0.32104862,-0.14386785,0.2612442,-0.18688866,0.3496288,-0.46578574,0.4323386,0.6437603,0.06477911,-0.028060578,0.711035,0.28020877,-0.49882764,0.49092966,-1.1320777,-0.006601706,-0.7316131,-0.05017305,0.031970948,0.9369936,0.4820234,-1.5103135,-1.0399476,0.50903684,0.0578838,-0.57758653,0.7526591,-1.4051002,-0.5203432,0.04928957,-0.3328828,0.109310254,0.4477864,-1.0900602,-0.717414,0.21327235,0.6542753,-0.39128667,-0.13437968,0.4436748,-0.27358937,-0.74673474,1,1
8,-1.0937977,-1.1679249,0.5147097,0.44585449,0.4623569,0.19592644,-0.87119997,-0.3670538,-0.3069368,0.44817555,-0.43340164,-0.1355125,0.6464731,-0.6298723,-0.19338837,-0.8800378,0.1681515,0.4413913,0.11934838,-1.1250607,-0.69085336,0.30635652,0.5895834,-0.8874061,0.8866453,0.23660064,-0.2653378,-0.51214254,-0.23072995,-0.07390792,-1.132283,0.3714438,-1.2237201,-0.6979617,-1.3231947,-0.19366416,-0.08761072,0.20408812,-0.42166966,-0.21967591,-0.37505865,-0.38105956,-0.52915466,-0.5847785,-0.2700856,-0.07669234,-0.7036369,0.13863024,1.2362264,-0.7513863,-0.9079707,0.2683512,-0.30343282,-0.17042041,0.0976455,0.09263832,0.08201591,0.7661066,-0.22399306,0.9151753,1,1
9,-1.0937977,-1.1679249,0.5147097,0.44585449,0.4623569,0.19592644,-0.87119997,-0.3670538,-0.3069368,0.44817555,-0.43340164,-0.1355125,0.6464731,-0.6298723,-0.19338837,-0.8800378,0.1681515,0.4413913,0.11934838,-1.1250607,-0.69085336,0.30635652,0.5895834,-0.8874061,0.8866453,0.23660064,-0.2653378,-0.51214254,-0.23072995,-0.07390792,-1.132283,0.3714438,-1.2237201,-0.6979617,-1.3231947,-0.19366416,-0.08761072,0.20408812,-0.42166966,-0.21967591,-0.37505865,-0.38105956,-0.52915466,-0.5847785,-0.2700856,-0.07669234,-0.7036369,0.13863024,1.2362264,-0.7513863,-0.9079707,0.2683512,-0.30343282,-0.17042041,0.0976455,0.09263832,0.08201591,0.7661066,-0.22399306,0.9151753,1,1
