,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.1553671,0.06730907,-1.3895714,-0.6875242,0.6146768,-0.34119874,0.07203891,0.21635017,0.12568286,0.090935044,0.15628254,0.19686359,-0.047766857,0.34979242,-0.5322173,-0.34717983,-0.13314638,0.48535126,0.02728273,-0.31755877,0.056040727,0.38476628,-0.0098640025,-0.12174802,-0.38255134,-0.34288606,0.16552676,0.25516504,0.0019794777,0.10491036,0.5473037,-1.7284889,-0.48359662,0.82718265,-0.57507837,-0.90281624,0.31203368,0.5924662,-0.7324305,1.035979,-0.23863828,0.3968687,-0.4732777,-0.65372455,0.43496746,-0.15427878,0.23759723,0.39565647,0.36003342,0.14496693,0.35573393,0.09265608,-0.4204593,-0.46741742,0.097529456,0.66667295,-0.32358962,0.04770191,-0.21406108,0.38836953,1,1
1,0.1673903,2.1628156,1.8401728,-0.30891275,0.61044925,0.018995978,-0.5737436,-0.28274035,-0.7703652,0.8998093,0.5463333,0.2759127,-0.42361277,0.0536699,0.9212556,-1.0723659,0.010146918,0.50688905,0.06922687,-0.16764195,0.69055146,0.44346082,0.8123856,-0.40381747,-0.43605632,0.21261795,0.33760214,0.058073163,0.23634228,0.0030381912,-1.2539121,3.1011562,0.70014584,1.0687973,1.6719316,-0.834003,0.3654632,-0.4098567,0.0522651,0.20442882,-0.6495713,0.10898531,-0.06808969,-0.31249312,0.61716187,-0.600686,0.3563426,-0.14840397,-0.52098894,-0.47697118,0.105823174,-0.45507246,-0.40310585,0.33008748,-0.37426162,0.12570933,0.13058788,0.13694696,0.40024692,0.013018332,1,1
2,0.1673903,2.1628156,1.8401728,-0.30891275,0.61044925,0.018995978,-0.5737436,-0.28274035,-0.7703652,0.8998093,0.5463333,0.2759127,-0.42361277,0.0536699,0.9212556,-1.0723659,0.010146918,0.50688905,0.06922687,-0.16764195,0.69055146,0.44346082,0.8123856,-0.40381747,-0.43605632,0.21261795,0.33760214,0.058073163,0.23634228,0.0030381912,-1.2539121,3.1011562,0.70014584,1.0687973,1.6719316,-0.834003,0.3654632,-0.4098567,0.0522651,0.20442882,-0.6495713,0.10898531,-0.06808969,-0.31249312,0.61716187,-0.600686,0.3563426,-0.14840397,-0.52098894,-0.47697118,0.105823174,-0.45507246,-0.40310585,0.33008748,-0.37426162,0.12570933,0.13058788,0.13694696,0.40024692,0.013018332,1,1
3,0.63152015,-2.0589097,-0.98975134,-0.31792545,0.13276404,-0.18444647,-0.33423805,0.79952544,0.3780576,0.7566244,-0.105461866,0.32300746,0.3488811,-0.30200255,1.1762881,-0.1384779,-0.5916189,-0.2958369,0.077436656,0.05389855,0.47060558,0.40373665,-0.52573556,0.26938424,-0.052157413,-0.10322342,0.40402585,-0.06655946,0.5417218,0.33678836,-0.39576215,0.62731636,-0.017697163,0.7126776,0.4119572,0.09059203,0.9382081,-0.70644647,-0.40193442,0.46544296,0.28602263,-0.81554794,-0.80389273,0.4297301,-0.038101297,-0.060986612,-0.4737332,-0.6289458,-0.027240448,0.21346228,-0.31480417,0.13857152,0.21762358,-0.3529535,0.24381195,-0.6218903,-0.38761714,0.19832458,-0.22161344,0.6356691,1,1
4,0.51974654,0.50898707,0.4119954,-0.44942978,0.50448495,-0.20916185,0.026593983,0.07534882,1.2738076,-0.5957467,0.100980505,0.38256985,0.80653715,0.6342098,0.38967866,1.1289974,-0.01599205,-0.25191796,-0.7557301,-0.33878556,0.9934356,-0.71341896,0.0013353378,-0.88911724,0.104422614,0.41949064,0.33129835,-0.5866505,-0.055552814,-0.81133807,-0.56629455,0.28818497,-0.09380295,0.90424687,-0.07358943,1.347399,0.087145716,0.04775792,0.09506592,-0.2921655,0.063360065,-0.050546534,0.020878166,-0.006037794,0.42225602,0.43663332,-1.0964723,-1.0976288,0.15378961,-0.15375338,0.36098212,0.45748532,0.7714497,0.15791154,0.36147797,0.43308225,-0.09489556,-0.2610647,-0.2066288,-0.33926842,1,1
5,1.3313638,-0.7599542,-0.5264257,-0.06405179,0.8142878,-0.53409594,-0.71425164,0.022239476,-0.65499663,-0.3205499,-0.032649614,-0.9370456,0.23076224,1.1169016,0.92666215,0.899594,0.3063683,0.16861339,-0.010826937,0.5536204,-0.24763402,-0.08549887,-0.05986283,0.029340334,1.0042229,0.32459998,0.5902033,0.47754395,-0.054471046,0.0916801,2.9228263,-2.2306352,-0.31760123,0.4652218,1.3304827,-0.031650178,-0.33204198,-0.37259305,-0.21919924,-1.2318022,0.06551499,0.1304497,-0.2575168,-0.7563199,0.28687724,0.10931928,-0.8525769,0.66418993,-0.63448495,0.181873,-0.53390944,0.18740341,0.53468627,-0.22595207,0.23156181,0.075454816,0.44676036,-0.038076546,-0.10194111,-0.095124066,1,1
6,1.0671793,1.4133344,1.0485066,0.8696334,-0.23012611,0.47103375,-0.5556808,0.94651985,-0.3246737,0.61656684,-0.7459094,0.009069692,-0.4588156,-0.7268621,0.33999026,0.08166051,0.07513441,-0.22038761,0.5811182,-0.2921023,0.4094481,-0.9860246,0.3236782,0.49662083,-1.1414773,-0.47890365,0.60596585,0.098899044,-0.49203092,0.43196744,-0.39910632,2.4645824,1.0173547,0.7703991,1.4138378,-0.33765692,-0.4914776,0.17630702,-0.111745715,-0.51058465,-0.05689512,-0.23910989,0.6905401,-0.33773673,-0.2911656,0.47080687,0.057187237,0.5865121,-0.26114953,0.24091153,-0.7981372,-0.12903741,0.76519156,-0.016031675,0.06346676,0.041410267,-0.57393396,0.38825935,-0.094623,0.8316318,1,1
7,2.7777648,-1.8595221,0.36730766,-1.8341279,0.36571938,0.104538724,1.0042199,1.0146568,0.19883193,-0.2556888,-0.96701574,-0.30517748,-0.53285027,0.41505298,-0.475332,0.33464557,-0.84089965,0.8719491,0.1038302,-0.5376934,0.27483433,0.8497559,-0.4596449,1.1283561,1.1609149,0.5572531,0.4841805,0.113821164,-0.057730667,-1.1866453,3.4788816,-0.37797326,0.6648827,1.1490415,0.2421622,0.3433209,0.50964713,-0.8602035,0.3065152,-0.35540143,0.39220598,-0.16165978,-0.21170479,-1.0165279,-0.90436745,-1.3099244,-1.6655527,0.23293671,-0.07144898,-1.2023891,0.44947162,-0.042668357,-0.9726124,-0.24553144,0.54089,-0.7441649,0.1560087,-0.8049463,-0.6921467,0.14350489,1,0
8,1.629236,1.2740583,1.2049905,0.15077204,-0.34002337,0.83027184,-0.13617006,-0.61132514,-0.68879724,0.6167773,-0.5734209,0.05571289,-1.2192506,0.41156247,0.11573091,0.5482524,-0.27607876,0.81292456,0.26730844,-0.72782344,-0.94777143,0.02751173,-0.05306877,-0.024949998,-0.513195,-0.40759683,-0.75200015,-0.009714879,-1.4180908,-0.62070376,6.0906496,3.5771937,-3.6712499,-0.7968119,-1.4023266,-0.6647469,-0.43879592,-0.23892213,0.07827535,-0.031631757,-0.24941143,-0.13443094,-0.093026504,0.25153977,0.098971665,-0.090459995,0.07876306,-0.2933729,0.18138804,0.13719304,-0.040979892,-0.070780456,0.085035175,-0.014068395,-0.02198854,0.028308839,0.022698954,0.07777067,0.062185578,-0.02975557,1,1
9,3.904131,1.8065445,-0.8855519,0.71858644,0.8715659,-0.20327692,1.7630496,-0.24860561,0.4563448,1.5942912,1.8370967,-0.6774228,-1.3661473,1.0003289,-0.9184421,0.5303589,0.10523577,0.22674716,0.65015054,-0.55558026,-0.374231,-0.31726146,0.4559248,0.7801219,-0.044607878,-0.7495658,0.4000065,0.7818681,0.85534334,0.10463509,6.0906496,3.5771937,-3.6712499,-0.7968119,-1.4023266,-0.6647469,-0.43879592,-0.23892213,0.07827535,-0.031631757,-0.24941143,-0.13443094,-0.093026504,0.25153977,0.098971665,-0.090459995,0.07876306,-0.2933729,0.18138804,0.13719304,-0.040979892,-0.070780456,0.085035175,-0.014068395,-0.02198854,0.028308839,0.022698954,0.07777067,0.062185578,-0.02975557,1,1
