,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-2.5032048,-1.4923892,-0.44875854,0.38512933,0.49473917,-0.07063553,-0.50158864,-0.01818911,-0.069799595,-0.27157485,-0.26104027,0.5387651,-0.02091505,0.10675508,0.14037743,0.30947384,0.07904262,-0.19978243,-0.5047998,0.019303039,-0.16966861,-0.14787835,-0.04341484,0.14197055,0.5142547,0.07743255,0.17316088,0.06968601,-0.019391082,0.17928343,-1.7933795,-1.1675706,1.0976804,-0.36518466,-0.70580673,-0.56080794,0.48208517,-0.34887213,-0.17951992,1.0273178,-0.5209429,0.10560468,0.2709736,-0.29326794,-0.20619322,0.30757973,0.2025794,-0.4950991,0.2620108,0.43752384,0.57814723,-0.016703088,0.076800704,0.74661064,0.106151715,-0.17044957,-0.42429328,-0.17651916,-0.18915816,-0.26796025,1,1
1,0.38532907,-0.14726314,0.2043476,-0.24807344,0.08268162,-0.58053803,-0.25284272,-0.23307621,0.34281313,0.5187445,-0.356511,0.062037423,-0.66474724,-0.19715537,0.5486472,0.1934635,-0.13188216,-0.38784975,-0.31398797,0.64323777,-0.03621278,1.0091901,-0.39494824,-0.01741992,-0.20803171,0.4096089,-0.08515681,0.30955407,0.20913994,0.052062638,0.47821644,-0.538036,-0.44555855,-0.76949704,-0.11244875,0.3391065,0.23003516,-0.2852387,0.68646824,-0.30736783,-0.23647931,-1.2386949,-0.7144263,0.096971676,0.0013188273,-0.7924484,0.190884,0.45410794,0.45231706,-0.025670104,0.036463805,0.09069174,-0.44927758,0.72781664,0.06644058,0.31004488,-0.14405826,0.4615111,-0.086527795,0.054433063,1,1
2,1.6237228,-0.37220466,-0.49667388,0.33280966,0.26232076,0.4469704,-0.5568464,0.1699476,-0.08424483,1.3379071,0.04780952,0.1185519,-0.2101649,-0.29752433,-0.39978927,0.3280868,0.7628983,0.30700502,-0.3025844,-0.3460888,-0.19733305,0.19021845,-0.4823618,0.4838125,-0.015290298,0.33290446,-0.19636056,-0.7704186,0.6150407,-0.6017889,0.9912617,0.24148013,0.293153,-0.81881046,0.38708353,0.16151395,0.21955726,-0.4369392,-1.1763585,0.10817245,0.34011865,-0.6283807,-0.51096916,-0.8613577,-0.2115318,0.1825732,-0.06372641,-0.058860872,0.80178463,0.82248616,-0.3399095,0.4735313,0.21403068,-0.4117276,-0.040434793,0.13143446,0.823229,-0.5515855,-0.20440796,0.47737825,1,1
3,-1.0521824,-0.5376437,0.8355756,0.40550417,0.91885734,0.27131125,-0.08194447,-0.30464166,0.4317368,0.6925119,-0.21493575,-0.13735628,0.13758966,0.051485986,0.066417694,-0.20684448,-0.30128476,0.53179216,-0.077933624,-0.24706516,0.015832707,0.20187832,0.1808659,-0.30245683,0.22045478,0.39025065,0.31498194,0.0904568,0.6879731,-0.07670404,1.3306696,-0.060597613,0.5993232,-0.05028537,-0.25968868,-0.53945816,0.39026764,-0.031006485,0.42917407,0.26097372,1.5894117,0.4086358,0.56310433,-0.5485095,0.027797878,1.1003028,0.7194487,0.2119224,-0.20730409,0.7647841,-0.0063556246,-0.12537229,-0.41127738,0.15836519,0.6089754,0.6575132,-0.38222998,0.024384245,-0.98918235,-0.6811103,1,1
4,0.5699475,0.29442447,0.6405219,0.25713307,-1.06019,-0.59239286,-0.39971954,-0.48518988,0.9629152,-0.23971197,0.13267824,0.6177503,0.5115259,0.6736145,0.025789402,-0.29698667,0.78648645,-0.42319018,-0.032755047,0.08941969,0.49313897,0.10519454,-0.40200722,-0.44604483,0.5024862,0.59991807,0.107820794,-0.68178,-0.28235924,-0.3801699,0.25707802,0.965821,-0.40890634,-0.7978968,0.12599087,0.9695916,-0.18179543,0.30752516,0.9791465,-0.28778285,-0.48385176,-0.741752,0.08104251,-0.8489232,0.0077745356,-0.6912663,-0.17168278,-0.23431608,0.26439828,-0.19093059,-0.43625122,0.06977312,-0.27852523,0.32012415,0.112524614,-0.28275552,-0.73258144,0.23482841,-0.052161228,-1.171465,1,1
5,1.0231657,-0.95595014,0.5666483,0.8325045,0.65023464,0.30756724,0.50886416,-0.47959822,-0.009960264,0.8100935,-0.535893,0.3326372,0.09711954,-0.16546953,-0.33881506,0.17085555,0.046582296,-0.016505152,0.07587409,-0.7912631,-0.43588397,0.073480055,-0.4316069,0.23163575,-0.50574684,0.19371012,0.14914161,-0.17621128,-0.31301373,0.101821214,0.08697554,1.1253762,0.05453112,-0.7644773,0.71139216,-0.24599968,0.4793049,-0.015600523,-0.601353,0.19659773,0.38206145,-1.439669,0.4765089,-0.4693577,-1.2614628,0.7595357,-0.64918315,-0.71818644,-0.22826795,-0.04277657,0.14177246,0.52782774,0.05888947,0.42391497,-0.023846366,0.36877894,0.3351794,-0.31541675,-0.45149553,-0.6031226,1,1
6,0.8849431,-1.0127064,-0.117815316,-0.19542098,1.0768744,0.7071585,-0.13982886,-0.2939239,-0.11069073,0.98528486,-0.1629729,0.121137574,0.22297306,0.6568245,0.2975401,0.02426004,-0.3595035,-0.29197502,-0.0035059815,0.1309854,-0.046793275,0.7691171,-0.64457536,0.14578444,-0.5465051,0.059125178,0.424843,-0.19248399,0.46170518,-0.03912095,-0.71128964,0.44294634,0.9842868,-0.23679894,-0.83787215,0.09794133,-0.055201016,-0.31220567,0.12567903,0.5592478,0.53633285,-0.4967247,-0.6183655,0.15977944,0.28651327,0.066567525,0.23186931,-0.15190496,0.093649864,0.060071334,0.43989438,0.2309537,-0.19167931,0.24254127,-1.0575037,0.18194526,0.57069683,0.63648003,-0.8137595,0.6281744,1,1
7,0.7797383,-0.27112553,-0.7888746,0.03477501,1.2132972,0.08431832,-0.7395067,0.02116407,-0.49420524,0.24186996,-0.30796847,0.9509238,-0.2295343,0.07191873,0.16164926,-0.57338214,0.1900675,0.39450067,-0.6136005,-0.048748188,-0.35959005,0.87369734,-0.111995906,-0.13658081,-0.1134097,0.14816946,-0.24603087,0.11458414,-0.20993538,-0.3007054,1.8572798,-1.0629575,0.1660624,-0.33879256,-0.6467173,-0.045771115,-0.099276245,-0.51368606,-0.36590675,1.0316745,-0.30962116,-0.5427396,0.045333322,0.4031093,-0.85320234,0.4719628,-0.38289958,0.00010006782,0.05668564,-0.060833607,-0.09853973,-0.62612164,-0.26114053,0.4305554,-0.519747,0.024538077,0.10772121,0.13014224,0.102189526,0.69989383,1,1
8,-0.27582905,0.10790264,-0.25882956,0.15101616,0.5456327,-0.7458068,0.3319956,0.15200737,-0.6313402,-0.20868355,-0.40146154,0.29469228,0.43439063,0.3009363,-0.35136083,-0.0732348,-0.777474,-0.062407,-0.45505798,-0.15536873,-0.53119683,0.2100281,-0.30354428,-0.014684286,-0.54403263,0.44517234,0.06299229,0.13046867,0.19299495,-0.23127323,0.4650222,0.37227064,-0.82238925,0.057447597,0.096656166,-0.33182785,-0.6947131,-0.9453309,-1.1809442,0.40736738,-0.28068,-0.58245945,0.58798206,-0.3951081,-1.4141436,0.46571165,-0.0061820224,-1.0921475,-0.4598592,-0.24088046,0.34664822,0.54463863,0.4439327,0.05721411,0.4552163,1.0477324,0.48366928,-0.60113466,-0.8120252,0.0477605,1,1
9,0.85904396,-0.024412155,0.9390818,0.65461886,0.48359048,-0.4458909,0.06721728,0.1297975,1.0514984,0.04130128,-0.93479884,-0.20021568,0.18243274,-0.03052757,-0.3397702,-0.081610225,-0.67475975,0.3839532,0.6265435,-0.52918416,0.8447054,-0.16496968,-0.25263914,0.5750698,-0.6306307,0.16367695,-0.8055218,-0.3270328,0.9312147,-0.55731326,-1.4369719,1.1622248,0.08767125,0.81342494,-0.17316629,-0.4674353,0.0039258376,-1.1267276,-0.7307128,-0.764464,0.53989315,0.12437291,0.24453366,0.11651468,0.7334798,0.34132951,-0.45032194,-0.6125654,0.979952,-0.092408665,-0.42697513,-0.2164536,-0.25468716,-0.2307046,0.7838069,-0.24827337,0.30061692,-0.6716361,-0.40790108,-0.14410818,0,1
10,2.0495782,0.4299366,2.6848955,0.06919611,0.122657925,-0.16696772,0.4954955,-0.7172826,0.48348582,0.5628967,-0.9043624,0.27260602,0.36559534,0.4273163,0.42231837,0.3066619,0.10271448,-0.22169624,-0.8735751,0.25323522,0.37369537,-0.07937154,0.075770766,0.47782052,-0.033532783,0.04796452,0.66970193,0.047630865,-0.58743685,0.4240736,1.5189991,1.9242117,1.1140804,1.1082003,0.43205556,0.4834211,-0.40034634,0.4274225,-0.3615481,0.24746628,0.85068417,-0.18170469,1.0507749,0.06929249,-0.3408132,0.14097391,0.8559295,-0.40269575,0.59878063,0.8619848,-0.08968998,0.32489282,-0.45793995,-0.37969378,0.70511854,0.055807456,0.22794306,0.32498598,1.2091043,0.05965779,1,1
11,1.8116024,0.62212956,-0.39976984,-0.37753206,-0.17316718,-0.6433317,-0.301014,-0.24450271,-0.6441056,0.6955402,-0.9600011,0.52113,-0.9871839,1.7157958,-0.4042812,-0.10595973,-1.0892296,0.48161525,0.2609083,0.85195965,-0.22805592,-0.5964818,0.6848337,-0.04960762,-0.1471236,0.42743042,1.0451734,0.48681703,0.20763679,-0.4606244,1.0093179,0.6332543,0.15552868,1.1052628,-0.7042155,0.19847953,0.006179996,-0.9518187,-0.043177277,0.2940757,-0.7251479,-1.9351656,-0.34759673,-0.7677368,1.8085973,-1.361632,-0.760701,-0.26633465,-0.7252821,-0.12269741,0.4148988,-0.20915172,-0.40433818,-0.4134388,0.063019365,0.6360788,-0.85255647,0.29507676,0.44616985,-0.3499872,1,1
12,-0.048751455,-0.9285132,-1.5422583,-1.0559187,-0.35082668,0.26200622,-0.12451688,0.4410567,0.29840833,-0.19236809,-0.38774168,0.8578502,0.6813247,-0.26324394,0.40165773,-0.32832837,0.44199696,0.2554785,0.152722,-0.49583232,-0.23477647,-0.3778801,0.2741214,0.19521621,0.3067644,0.2423645,0.14606255,-0.00906831,0.5257424,-0.084638655,-0.10074781,-0.4159838,-0.16375066,-0.84544295,-0.07495724,-0.22455643,-0.4592991,-0.52716506,-0.53799486,-0.30847692,-0.55619925,0.15275794,0.14744082,-0.79114187,-0.32871783,-1.1870987,0.45378226,-0.40176114,-0.23687688,-0.71326876,0.46522745,0.16793287,-0.3036119,-0.19937938,0.22471197,0.6437355,0.35733914,-0.14794825,0.36298063,0.46172142,1,1
13,-1.879475,0.046096645,-0.14403364,-0.571366,-0.4307443,-0.4188074,0.6608759,0.191293,-0.16874848,-0.2141628,-0.70423746,-0.099256985,0.95998144,0.12892497,-0.29837373,-0.30563873,-0.030826777,-0.4249028,-0.18760864,0.52939475,0.07447873,0.200749,-0.264853,-0.11309182,-0.2053866,-0.13471583,0.2053706,-0.0066517107,0.22710419,-0.40550968,-1.300599,0.25638932,0.18649162,-0.1386172,0.78514504,-0.44702065,-0.7192693,1.1312003,-0.37382463,0.31670788,-0.13039553,-0.008992057,0.10743192,0.013115168,0.47310987,-0.9465578,-0.34818292,0.11376817,0.26102367,0.22644824,-0.33513206,0.31118494,-0.38945505,0.80475986,0.060520463,0.3673565,-0.11379305,-0.32128462,-0.96171284,0.6024621,1,1
14,0.27213117,-0.59468997,0.036967836,0.4637829,-0.3763817,-0.9386264,-0.09278885,-0.039137036,0.34014946,-0.0028487518,-0.23641875,0.047872588,-0.57984746,-0.10837018,0.7316115,0.09463827,-0.14748164,-0.75446767,-0.1592173,0.5317086,0.13654199,-0.18472862,0.3290814,-0.23040125,-0.35094702,-0.19324645,-0.030326277,-0.33610055,-0.5610039,-0.17708585,0.101353504,-0.443142,-0.29347706,-1.1212978,-0.64811885,-0.58250624,0.75718826,0.21326543,0.25699848,-0.14089358,-0.723836,-0.26538363,-0.039242864,0.21670322,-0.45886737,0.4601536,0.5114419,0.4192798,-0.36979955,-0.1294533,0.03283564,0.939437,-0.16890253,0.14986193,0.03364923,-0.37570807,0.20614883,0.03581345,-0.5100296,0.42903316,1,1
15,0.25684035,-0.55921435,0.9787841,0.44345677,-0.99910474,-0.6174129,0.17406587,0.37736696,-0.6831511,-0.06573664,-1.0920358,0.19791672,0.14547534,-0.13251656,0.05473009,-0.23419438,-0.3749577,0.28763834,0.68530947,0.68222106,0.04871575,-0.46887183,-0.34274527,0.10698153,-0.5310969,0.23212014,-0.110085584,-0.42168003,-0.18853779,-0.24767253,-0.87862253,0.36807722,0.2382036,-1.1521786,0.9889305,-0.887331,-0.3405641,0.17816037,0.24306244,0.058883525,-0.49370554,-0.86895007,0.08264898,0.34188652,-0.3076579,-0.22940038,-0.36154047,-0.26277792,0.49323422,-0.18376467,0.107393816,-0.1426472,-0.31704712,-0.27393538,-0.61085725,0.042378105,0.25547165,0.040621,-0.28425354,-0.44883758,1,1
16,1.0318551,0.66901743,-0.5533854,0.4195435,0.17238766,-0.31989247,0.3610069,0.43796137,-0.08655408,0.7817182,0.43801028,-1.0422132,-0.94249797,-0.33733696,-0.37744647,-0.12083161,-0.25883213,-0.34625438,0.28511804,0.20622234,-0.49738324,-0.22703251,-0.5798703,0.28612438,0.03953795,0.49620798,-0.40199214,-0.4645273,-0.62676114,-0.3622985,0.5542151,1.1279316,-0.5922185,-0.41409722,-0.63489103,-1.6666112,0.31668562,0.40122145,0.2670981,0.40070635,-1.0215563,-0.7715946,0.80920804,0.014861472,-0.18956967,-0.35684675,-0.49734226,-0.055932045,-0.20352036,-0.04424987,-0.26715744,0.16693789,0.41804576,0.03355062,-0.24624124,-0.3674576,-0.4824414,0.2403274,-0.16996118,0.17444174,1,1
17,-0.48027858,-0.118538685,0.06395218,0.059251864,0.4388876,-0.1376749,-1.1364374,0.1094026,0.07315403,0.19266169,0.094987586,-0.6445389,-0.08855606,0.043408394,-0.8383032,0.22675112,-0.014473118,0.0759753,-0.35886228,-0.075946115,-0.17544925,0.0027577784,-1.0925409,0.25361976,-0.22552986,0.18334872,0.56152445,-0.2226432,0.059818134,-0.5142727,-0.68600917,-0.351739,-0.22191456,-0.115287185,-0.6495882,0.11590786,0.54474795,-0.7460516,-0.29524803,-0.68100286,0.27535686,-0.037958484,0.44053343,-0.004376009,-0.42614126,0.37713993,-0.1902724,-0.9221083,0.19155738,-0.30527902,-0.44105896,-0.19222695,-0.3091795,0.21742633,-0.15052319,0.05461533,0.12060303,0.58540046,0.15450904,-0.4281189,1,1
18,-0.28435168,-0.50197065,-0.18612778,-0.08033517,-0.21278094,-0.30748618,-0.9089239,0.052093904,0.2450694,0.5679545,-0.34884086,-0.19081867,-0.0046307184,-0.10728687,0.34304503,-0.064905465,0.7183507,0.6099385,-0.0698975,0.5883527,-0.5621537,-0.34570867,-0.62418854,-0.20065938,-0.48559314,0.0576486,0.19821735,-0.46807182,-0.1933869,-0.13121818,0.5521191,-0.15591387,-0.903822,-0.27064314,-0.83954465,-0.08006806,0.84067917,-0.1300394,0.14820871,-0.6204524,-0.81331164,-0.31509197,0.029831141,0.42079872,-0.24868058,-1.1322968,-0.23955119,0.73045063,-0.3523971,-0.86411047,0.33974928,-0.3172701,-0.2484692,0.33344474,-0.76148707,-0.19999105,0.2320006,-0.13548195,-0.55335814,0.2797655,1,1
