,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.4006094,-0.71456677,-0.34294707,0.5289727,-0.84342813,-0.27746475,0.8084893,0.6133338,0.5562719,-0.27910513,-0.18264973,1.60723,0.34983,0.17150992,-0.37742636,-0.10515719,0.10876273,0.4371711,0.05556266,0.33376515,0.625692,-0.28515512,-0.11302741,0.014282517,-0.39207503,-0.08307893,0.16746143,0.38368908,0.10210409,0.37510842,-1.361023,0.8443307,0.296216,0.29510182,0.82354426,-0.5982815,-0.7530285,-0.9972563,1.2239268,0.9031968,-0.8629544,0.85084534,-0.07868868,0.2552706,-0.43601248,-0.575714,0.6034756,0.3783492,0.17545007,0.283485,-0.49917907,0.77425265,-0.14141254,-0.45705146,-0.030009214,-0.608906,-0.28812164,-0.07392451,0.13602987,-0.4906171,1,1
1,1.2406898,2.3522544,0.106680766,0.08841408,-0.5966008,-1.1923321,1.1780053,-1.3351521,0.29394674,0.38203713,0.1167624,0.053163208,0.22682291,-0.2342962,0.23618183,-0.026623221,-0.13793135,-0.13877705,0.6954351,0.23416156,0.27413595,0.16081572,0.37921795,-0.41169268,-0.010494202,0.27111626,0.35988513,-0.40537363,0.053470977,0.17747287,-0.91527873,1.8231711,0.75751877,2.1177454,-0.21448879,-0.92797065,0.70229757,0.098451875,-0.20772666,0.77008957,-0.68639195,0.26244393,-0.047707707,0.8409618,-0.5432266,0.58908,0.2192148,0.10378513,-0.055265162,-0.1076855,-0.20154603,-0.9598819,0.46100008,0.84094816,0.43084183,0.6235684,0.61018723,-0.12360803,0.94445515,0.36186242,1,0
2,1.298742,0.807359,1.1935098,1.5311913,-0.053938992,-0.382253,-0.4221178,0.7111807,0.15777582,-0.41633993,-0.53317016,0.06762068,-0.4215858,-0.8021851,0.11415779,0.40119267,-0.27411488,0.29676566,-0.6698871,-0.047607698,-0.14996791,-0.49116257,0.5262356,0.055711716,-0.037796214,-0.5383411,0.5719861,-0.61740816,0.95176417,-0.58432186,-0.8244798,0.51357734,2.5073478,0.8165824,1.0277889,0.04719071,-0.3383838,0.71696633,0.30522785,-0.30931765,0.057692405,0.36749125,-0.010933474,-0.41753554,0.59413654,-0.78551584,-0.10862268,0.24468763,-0.52675396,-0.7779069,0.6577141,-0.44689453,0.13496304,0.116833456,0.2808061,0.5307279,0.7060844,0.4467862,0.47122872,0.3291179,1,1
3,-0.115132354,-1.057621,-0.26994324,1.059664,-1.3359601,-0.04151376,-0.44613326,0.1664562,-0.32316196,0.64062566,-0.018080696,0.5565195,-0.51750255,0.04043435,0.3297636,-0.27099657,0.0883625,-0.19595128,0.56300414,-0.18659395,-0.5227134,-0.055665255,-0.053418472,0.6939831,0.14780654,0.24901448,0.49433947,0.22414935,-0.03593535,0.02228856,-0.1763233,-1.2492523,1.0448157,-0.7872492,-0.37005052,0.59404624,1.0292294,0.15992184,-0.22813778,0.41418067,-0.043225113,-0.067124784,0.33941033,-0.24418974,-0.6858938,-0.025795013,0.16526672,-0.1691751,-0.9540666,0.11165021,0.037141204,0.67684233,0.17555201,-0.88340384,0.104372896,-0.4556815,-0.05589755,0.25278956,0.76749045,-0.16901767,1,1
4,-0.5842625,-0.019808672,-0.02038826,0.5185392,-1.1664608,0.7245954,0.16926624,-0.4085952,-0.039632276,0.51005274,0.17583665,-0.14616281,-0.037872016,0.18801172,-0.036799915,-0.51488864,-0.18299988,0.23619652,-0.8969427,0.29357374,-1.0977632,0.11152075,0.30724967,0.7218688,-0.61015725,-0.18468726,0.6787365,0.10618782,-0.22413416,0.298026,1.9075598,-0.7849714,-1.5258937,2.1094751,0.46052927,1.8702576,0.61236477,-0.8612799,-1.3864559,1.5142245,-0.5791545,1.1366858,-0.08646213,-0.38400614,0.34265435,0.0470008,-0.18344969,0.29390886,0.04493612,0.27468234,-0.22046065,-0.19339183,-0.014506854,-0.04273753,-0.094271034,-0.80837333,-0.6573707,0.5361119,-0.1583496,-0.12306226,1,1
5,-1.4089776,-0.105135895,-0.2312263,1.4622478,-0.12772529,-0.3990525,0.103371866,0.3092177,0.07798429,-0.14882405,-0.36075997,-0.17648073,0.15627411,0.1826063,-0.10330886,0.12396541,0.38778722,0.52291733,-0.040198635,0.12787652,0.042553272,-0.5407658,-0.082932994,-0.0047446564,-0.080615066,-0.13312592,-0.09836054,-0.092286184,-0.28213775,0.048620246,-1.1254802,-0.15006769,0.6516409,-1.0020996,0.837435,-0.33704162,-0.8687837,-0.11148647,0.4349912,-0.04946138,-0.70797753,-0.2154526,-0.49805397,-0.086151876,0.38538146,-0.21585144,0.21421611,0.2136352,0.10108599,-0.70840955,0.33595031,-0.23967543,0.23407036,0.46952996,0.115294695,0.08806216,0.30849135,0.19734675,-0.24044813,0.1335273,1,1
6,-0.80384994,-1.1682365,2.0055277,-0.02392739,-0.35294634,-0.113406345,0.16411489,-0.0014869682,-0.038145546,-0.112828895,0.07698642,-0.7232667,-0.18853606,-0.2700214,-0.037773922,0.004885479,0.102704436,-0.06405429,0.20390561,-0.0757965,0.037588693,-0.3370578,-0.6271989,0.17099144,0.24591845,0.024862535,-0.11134112,0.17384565,-0.043747105,0.36346823,1.0335398,-1.9482462,-0.4705559,-0.41783446,0.333821,-0.43168563,-1.5673571,-0.3674358,0.26455647,-0.31878728,-0.018440947,0.14419153,-0.35000902,0.115239844,-0.35130894,1.5891654,-0.27825883,-0.49593648,0.028789647,-0.51428,0.13294601,0.5481123,-0.8867346,0.9059733,0.05923937,0.9163426,0.06210976,-0.101853594,-0.10623302,-0.37235612,1,1
7,0.89132535,-0.5456432,-0.11571528,-0.7194153,-0.47251046,0.33253813,-1.1919919,0.122910805,0.086487606,0.09011932,0.42428768,-0.0637563,0.17971468,0.3499302,1.0353758,-1.1216336,0.28137326,0.020210177,0.28597167,0.5966275,-1.605905,0.2775563,0.46148038,0.22499965,0.1825234,0.39555383,0.34148884,0.045650564,0.30541813,0.24622738,6.0955777,3.3484516,0.41258124,-1.3123238,0.027956199,0.35793507,0.12394692,-0.0923199,0.17836377,0.057755724,0.10730357,0.023105651,-0.07653783,-0.002227217,-0.03194828,0.035729155,-0.029110318,-0.028283834,-0.0076382533,-0.030491523,-0.056598283,-0.018143132,-0.034993857,0.008827286,0.052009806,0.049550954,0.018448561,0.0422381,0.0036198795,-0.017112516,1,1
8,0.35490292,0.7956238,0.45601183,-0.08071419,0.30543253,0.58648765,0.0052749887,-0.05167221,-0.47643918,-0.1132495,-0.15693876,-0.8090447,-0.18895528,0.19700213,-1.0599685,0.905258,0.10648064,-0.096277095,0.47006276,-0.19347022,0.24398628,1.1205797,0.69652885,0.08471606,0.5236373,-0.5061902,0.34178516,-0.5871595,0.13938513,-1.0197769,-0.8802526,0.16745046,1.4639275,-0.48336536,1.2305305,-0.21600616,0.7056012,0.35601628,0.11814044,-0.27516901,0.031864777,-0.5966388,-0.6623109,-0.12314712,-0.18705001,0.92424005,0.39034143,-0.8410034,0.41181773,0.36833048,0.00055422634,0.7280016,0.2391692,-0.75815624,-0.49814296,-0.37600613,-0.26332238,-0.48990417,0.14824894,-0.29906046,1,1
9,0.7566184,0.55654955,-0.38594338,0.94556856,0.14040005,0.37973872,-0.69115067,1.4693023,-0.07742908,0.27138463,0.4269316,0.29410976,-0.10600479,-0.45041615,-0.46719307,-0.7280476,-0.28571376,0.74714243,1.0371218,0.15782759,0.16611491,-0.3341161,-0.099940814,-0.41098008,-0.1564291,-0.64716315,0.34853035,0.99517417,-0.26109734,-0.25575104,0.120743155,-1.008901,-1.69323,-0.6899573,0.016948044,-0.32120797,0.6400602,-0.033515997,0.4600463,-1.1773738,0.54268825,-0.28860378,-0.3351299,-0.14169896,0.050558984,-0.404212,0.12042571,-0.09907293,-0.78356194,-0.22035348,-0.7501643,-0.15421702,-0.10166359,-0.8955315,0.21841937,-0.30224535,-0.43555707,0.89916825,0.73618317,0.19930568,1,1
10,-0.17176025,-0.06787038,0.583422,0.4617085,-0.3087916,0.48143193,-1.0891038,-0.08526029,-0.34174752,0.60585076,0.88498837,0.50705725,-0.5806402,0.07579086,-0.30995047,-0.9691429,-0.6811241,0.23186107,0.14060508,-0.049658127,-0.2941268,-1.0053422,-0.5493472,-0.05559326,0.18965375,0.26758537,-0.8656434,0.5448569,0.54785806,-0.23049986,0.6888373,0.55472517,-2.6334448,1.0455484,-0.71897817,1.6358875,-0.72547174,0.82823753,0.33956438,-1.5920835,0.1305583,-1.5202845,0.24833342,0.42625275,0.70039713,-0.58646643,0.90880907,-0.6470053,-0.84853053,-0.777102,-0.266667,0.30034772,0.0154939,-0.38988262,-0.5358057,0.21955559,0.432936,-0.55095065,0.52546215,-0.15470985,1,1
11,-0.5200934,-1.4146315,2.4288173,-0.27421415,-0.07390344,0.15227325,0.39800745,-0.013366032,0.17914891,0.2595917,-0.29865482,-0.21198544,0.08786196,0.10281326,-0.46304572,-0.01412347,-0.122359015,-0.61504626,0.20451044,-0.3452413,0.09417021,0.013434969,0.07067987,0.096860565,0.0005200356,0.25747868,0.14809424,0.45487434,-0.07231132,-0.0066089593,-0.17496523,-0.9981032,0.7443987,-1.0075033,1.6970189,-0.054278355,-0.5499431,0.33812723,-0.1117794,-0.14657897,-0.30833107,0.58598804,-0.091707796,-0.7327211,-0.5217878,0.36105976,0.032735303,-0.34663665,-0.6869052,0.62289214,0.44092852,0.12281337,0.053642433,-0.3178318,-0.16945305,-0.22470894,0.59642255,-0.40228802,-1.3245337,0.5693332,1,1
12,2.2252283,-1.113642,-0.16320106,-0.3565778,-0.4756489,-0.9480419,-0.86105937,1.7955911,-0.7032818,0.4580552,-0.5925585,0.31170937,-0.27221397,0.02870535,0.7304346,0.5251426,0.11009534,0.37936845,-0.20053235,0.08525565,0.22217068,0.2754462,0.5741587,0.10261917,0.21572725,-0.36334556,-0.000693053,-0.95129454,-0.5151155,0.2882486,1.1904469,-1.9625492,1.5752596,0.5801214,-1.4848282,0.4130966,0.8182905,0.7266552,1.5121564,0.05579859,1.3557174,0.741173,0.042951867,-0.016541272,-0.4747261,-0.89134395,-0.14795437,-1.0565816,0.6184832,0.069934756,0.033534966,-0.45722643,0.17198217,0.14149709,-0.30693683,0.95360905,-0.12988475,0.30513772,0.16469187,1.0310608,1,1
13,-0.48819667,-1.4437737,-0.73941207,0.6733539,-0.009052262,-1.1917789,0.4601326,0.117444485,-0.13994685,0.11422905,0.059584793,0.095425814,0.11987609,0.038631625,-0.03665674,-0.05650957,0.3208996,-0.658,-0.037188664,-0.32273248,0.41879016,-0.15499394,-0.10290263,0.07744224,0.45499414,-0.06660961,-0.3959002,0.32330543,0.12689304,0.2656826,-0.09575399,-1.6831706,1.4669975,-1.4224651,-0.24384767,0.07189326,0.39175993,0.43587828,-0.45075917,0.49298203,-0.61582166,-0.567938,-0.54216623,-0.17670526,-0.08508472,0.48183367,-0.106475055,0.3824004,-0.25609133,0.099718794,-0.5146141,0.5829499,-0.009340555,-0.25308752,0.12789515,-0.24160662,0.35174724,-0.04433763,0.037251003,-0.25308433,0,0
14,1.8988916,0.27086914,0.6046448,1.5383911,-0.0486466,0.5795697,-0.942327,-0.13582736,-0.30894506,0.48771918,-0.26594687,0.11567828,0.036209665,-0.5635269,0.2705138,0.78205377,0.7305969,-0.40328225,1.2795225,-0.42814547,-0.004942313,0.3250722,0.2282865,-0.55162716,-0.41228715,-0.28317448,-1.0356281,0.5415863,-0.37944293,0.6259248,1.418577,-0.5778024,-1.1470935,1.2998137,-0.4573571,-0.097355396,0.49732822,-0.6624534,0.33487463,0.232514,1.5645082,0.8087868,0.24831031,0.016407207,0.17548352,0.617306,0.69822097,0.28440636,1.0780404,0.31829807,0.9212606,0.1985069,-0.15848452,-0.58011955,0.38209754,-0.27282083,-0.034450933,-0.48660547,0.6576139,-0.4559882,1,1
