,pca_1_t,pca_2_t,pca_3_t,pca_4_t,pca_5_t,pca_6_t,pca_7_t,pca_8_t,pca_9_t,pca_10_t,pca_11_t,pca_12_t,pca_13_t,pca_14_t,pca_15_t,pca_16_t,pca_17_t,pca_18_t,pca_19_t,pca_20_t,pca_21_t,pca_22_t,pca_23_t,pca_24_t,pca_25_t,pca_26_t,pca_27_t,pca_28_t,pca_29_t,pca_30_t,pca_1_s,pca_2_s,pca_3_s,pca_4_s,pca_5_s,pca_6_s,pca_7_s,pca_8_s,pca_9_s,pca_10_s,pca_11_s,pca_12_s,pca_13_s,pca_14_s,pca_15_s,pca_16_s,pca_17_s,pca_18_s,pca_19_s,pca_20_s,pca_21_s,pca_22_s,pca_23_s,pca_24_s,pca_25_s,pca_26_s,pca_27_s,pca_28_s,pca_29_s,pca_30_s,sentiment_title,sentiment_summary
0,-1.5981684,-0.21177942,-0.9076406,-0.04946223,-0.1881862,0.32309145,-0.30312476,-0.06123122,-0.76326585,0.23209116,0.34859347,-0.5551971,-0.4991754,0.15357506,0.23072737,0.53812015,-0.18184072,0.28381044,0.6470853,0.043742552,0.23746055,-0.49773017,-0.19163123,-0.002215296,-0.03174065,0.15721065,-0.27601624,0.20517866,-0.44049835,-0.3060865,-0.7991307,-0.40586704,0.1236947,0.39846182,0.32452866,-0.36888936,-0.40283412,-0.48218566,0.64265144,-0.17486246,-0.9415301,0.47617134,-0.3909678,-0.2191379,0.52026516,-0.5710845,0.41442305,0.38153926,-0.12003173,-0.8903179,0.31626,0.15232503,-0.30568165,-0.96468455,0.060912125,0.5768565,-0.77703404,-0.09175227,-0.23396753,0.26466733,1,0
1,1.3859992,0.4566073,0.1478053,0.7093177,-0.38569668,1.439165,-1.3670489,-0.101434305,-0.43321103,-1.0095401,0.34795788,1.4199734,-0.4367162,0.9231747,0.20457894,0.68560356,1.9776769,1.0796249,-0.25858662,-0.74661684,-1.1216676,0.2917986,0.106769785,0.28343722,-0.23158795,1.6606894,0.8972162,-0.24576655,-0.421565,0.86481565,1.6701639,-1.8387139,-0.07222512,-0.7949058,2.098916,-0.8785756,-1.0064089,-1.981539,0.022914976,-0.5318345,-0.67294085,-0.34283847,0.46080714,-0.32282454,0.0748567,0.4482836,0.104683265,0.43433207,1.4724557,-0.43252143,-0.79919684,-0.0474644,-1.0184362,-1.3560385,1.2272644,-0.28311583,0.46348053,0.558034,0.36151987,0.70501435,1,1
2,1.3859992,0.4566073,0.1478053,0.7093177,-0.38569668,1.439165,-1.3670489,-0.101434305,-0.43321103,-1.0095401,0.34795788,1.4199734,-0.4367162,0.9231747,0.20457894,0.68560356,1.9776769,1.0796249,-0.25858662,-0.74661684,-1.1216676,0.2917986,0.106769785,0.28343722,-0.23158795,1.6606894,0.8972162,-0.24576655,-0.421565,0.86481565,1.6701639,-1.8387139,-0.07222512,-0.7949058,2.098916,-0.8785756,-1.0064089,-1.981539,0.022914976,-0.5318345,-0.67294085,-0.34283847,0.46080714,-0.32282454,0.0748567,0.4482836,0.104683265,0.43433207,1.4724557,-0.43252143,-0.79919684,-0.0474644,-1.0184362,-1.3560385,1.2272644,-0.28311583,0.46348053,0.558034,0.36151987,0.70501435,1,1
3,1.3859992,0.4566073,0.1478053,0.7093177,-0.38569668,1.439165,-1.3670489,-0.101434305,-0.43321103,-1.0095401,0.34795788,1.4199734,-0.4367162,0.9231747,0.20457894,0.68560356,1.9776769,1.0796249,-0.25858662,-0.74661684,-1.1216676,0.2917986,0.106769785,0.28343722,-0.23158795,1.6606894,0.8972162,-0.24576655,-0.421565,0.86481565,1.6701639,-1.8387139,-0.07222512,-0.7949058,2.098916,-0.8785756,-1.0064089,-1.981539,0.022914976,-0.5318345,-0.67294085,-0.34283847,0.46080714,-0.32282454,0.0748567,0.4482836,0.104683265,0.43433207,1.4724557,-0.43252143,-0.79919684,-0.0474644,-1.0184362,-1.3560385,1.2272644,-0.28311583,0.46348053,0.558034,0.36151987,0.70501435,1,1
4,0.5711108,-0.1474804,-0.43306464,-1.0204959,-0.12241496,-0.018408459,0.1174771,1.3029828,0.9236481,0.3157657,0.009299863,-0.14459358,0.46413895,-0.45537993,-0.013053231,0.2833532,0.14187628,0.18416372,-0.7255261,0.038696945,0.089640014,-1.0586221,-0.274657,-0.09725563,0.08948491,0.17404619,-0.18692857,-0.110169604,0.15926073,0.19739693,-0.31152144,-0.4573009,1.8534565,0.0031734062,0.32348117,2.0231686,1.3727369,1.6144488,0.5384297,-0.12521116,0.09926203,-0.47602472,0.2249646,-0.21328026,0.5701554,0.20340179,0.03221849,0.15952067,0.4739716,-0.014235709,0.011968996,-0.3855866,-0.33321813,0.02859973,0.30015352,0.49190962,-0.17411809,0.33057886,-0.3548701,0.1330131,1,1
5,-0.46457246,1.0372593,-0.5166199,-0.4050104,-0.05642943,0.17015654,1.0937393,0.24081036,-0.029238148,-0.92950785,-0.10690769,0.110253125,0.14599995,0.5160378,0.086107515,-0.276034,0.18893963,0.068954706,-0.47922146,-0.62519425,0.3848599,0.20272988,-0.6096807,-0.68156314,0.002196697,-0.18148407,-0.85083616,-0.22257188,-0.17501219,-0.00054160506,-0.40122193,-0.0780241,-0.2890589,0.14171648,-1.1048692,0.73910445,1.6942394,-0.042303674,0.14058432,1.1088908,-0.77045417,0.06352509,0.52454287,-0.3885624,0.21416806,0.7127094,-0.23060638,0.46251744,0.15146154,0.11330958,0.57364064,0.022030294,-0.26395738,-0.42957672,-0.5374389,-0.0015669763,1.1033741,0.18103811,-0.112881914,-0.013367623,1,1
6,-0.29253864,0.99616534,0.58980894,0.1048488,0.56622213,-0.77007794,1.4606435,0.8279806,-0.11041318,-0.18280412,-0.5154382,0.15030944,-0.7474178,-0.13059111,-0.012810998,-0.502101,0.08392002,0.6481397,0.320911,-0.36554044,0.00095669925,0.025089197,-0.55675447,-0.2557515,0.5469541,-0.0069599003,-0.07641698,-0.6314829,0.0048751235,-0.44471502,0.27925867,-1.0210643,-0.9179269,0.3238285,-0.06136289,1.0962013,0.17494485,0.9872358,0.6188828,0.4524491,-0.9490165,0.5071205,0.63171947,0.05255507,0.9861351,-0.021192983,0.16612034,-0.09338363,0.6502162,-0.024068393,0.34834176,0.19635427,1.1686373,-0.4137367,0.14947742,0.9609601,-0.6966604,-0.49227133,-0.08458906,0.61641717,0,0
7,0.94355947,-0.9777051,0.91671705,-0.12559755,0.6123713,1.3603768,0.6706276,1.2326094,0.35604316,0.46271715,0.30813858,-0.8436699,0.034664575,0.32986093,-0.126564,0.018141314,0.29954088,0.4628486,-0.009925619,-0.16638988,0.029001907,0.9226228,0.03270433,-0.4468789,-0.21708652,-0.21961302,-0.60951275,-0.5311644,0.36797246,0.44872612,-0.17972693,-0.3652775,0.761731,-0.47570735,0.5050791,2.4087155,1.1011959,-0.27461112,1.0375967,-0.26913258,0.3092902,0.3780996,-1.026073,0.35998374,-0.31598213,0.608785,1.0070338,-0.31908053,0.0865201,-1.0946795,0.040527295,0.1271336,0.6686717,-0.2872253,0.65260714,0.009159539,-0.16896701,-0.041323215,-0.17705467,0.4787296,1,0
8,1.1968251,0.8698081,-0.77833503,-1.6179665,-0.919555,-0.3749828,0.13024428,0.37201506,-0.111952364,0.3284456,0.40139872,0.7606504,0.105111256,0.51557153,0.2148971,-0.55019855,0.41760248,0.5531011,0.2818425,-0.4352945,0.065976925,-0.057307146,0.431671,0.29203153,0.45,0.40105993,0.13935326,0.7649467,0.30356488,-0.14395627,0.69068813,-1.3199339,-1.1979607,-1.2073978,-0.4653567,-1.245713,0.78116244,0.49245885,0.2036793,-0.76655626,-0.6761151,-0.34217033,0.38671547,-0.3031324,-0.32441628,0.5559974,0.65824324,0.23587717,-0.068455555,-0.4593721,-0.84257007,-0.9111299,-0.22870626,0.57171476,-0.3604215,0.0974776,-0.551549,-1.2452161,-0.2996132,0.10380332,1,1
9,1.1968251,0.8698081,-0.77833503,-1.6179665,-0.919555,-0.3749828,0.13024428,0.37201506,-0.111952364,0.3284456,0.40139872,0.7606504,0.105111256,0.51557153,0.2148971,-0.55019855,0.41760248,0.5531011,0.2818425,-0.4352945,0.065976925,-0.057307146,0.431671,0.29203153,0.45,0.40105993,0.13935326,0.7649467,0.30356488,-0.14395627,0.69068813,-1.3199339,-1.1979607,-1.2073978,-0.4653567,-1.245713,0.78116244,0.49245885,0.2036793,-0.76655626,-0.6761151,-0.34217033,0.38671547,-0.3031324,-0.32441628,0.5559974,0.65824324,0.23587717,-0.068455555,-0.4593721,-0.84257007,-0.9111299,-0.22870626,0.57171476,-0.3604215,0.0974776,-0.551549,-1.2452161,-0.2996132,0.10380332,1,1
